Sample	1,3-Dihydroxyacetone	2' fucosyl lactose	2'-Deoxyinosine	2'-Deoxyuridine	2-Aminobutyrate	2-Hydroxybutyrate	2-Hydroxyglutarate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoglutarate	3' fucosyl lactose	3'-sialyllactose	3-Hydroxybutyrate	3-Phenyllactate	4-Aminobutyrate	4-Hydroxybenzoate	4-Hydroxyphenylacetate	4-Hydroxyphenyllactate	5,6-Dihydrouracil	5-Aminopentanoate	6' sialyllactose	Acetaminophen	Acetate	Acetoin	Alanine	Allantoin	Arabinose	Arginine	Ascorbate	Asparagine	Aspartate	Betaine	Butyrate	Cadaverine	Carnitine	Choline	Citrate	Citrulline	Creatine	Creatinine	Cytidine	Cytosine	DL-methionine-sulfoxide	Desaminotyrosine	Dimethylamine	Ethanol	Ethanolamine	Ethyl-beta-D-glucuronide	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glutarate	Glycerol	Glycine	Guanosine	Histidine	Hypoxanthine	Indole-3-acetate	Indole-3-lactate	Inosine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	Lactate	Lacto-N-fucopentaose I	Lacto-N-fucopentaose III	Lactodifucotetraose	Lactose	Leucine	Lysine	Malate	Methanol	Methionine	Methylamine	Methylsuccinate	N,N-Dimethylglycine	N-Acetylglucosamine	N-Acetylneuraminate	N-Carbamoyl-beta-alanine	N-Methylhydantoin	Nicotinate	O-Acetylcarnitine	Ornithine	Phenol	Phenylacetate	Phenylalanine	Proline	Propionate	Propylene glycol	Putrescine	Pyroglutamate	Pyruvate	Ribose	Sarcosine	Serine	Succinate	Taurine	Threonine	Thymidine	Thymine	Trimethylamine	Tryptophan	Tyramine	Tyrosine	Uracil	Urea	Uridine	Urocanate	Valerate	Valine	Xylose	myo-Inositol	p-Cresol	beta-Alanine	beta-Pseudouridine
EF.12.1	0	0	147.3587006	251.0555639	1219.802577	0	3774.020053	620.8167477	286.5308066	111.8834578	0	0	129.6210792	0	0	0	424.3384803	32.7463779	0	1233.446901	0	0	62375.02774	166.4607543	4714.113985	0	0	253.7844287	0	347.9302652	4801.43766	113.2478902	753.1666917	9070.746679	36.83967514	62.76389098	0	951.0093916	98.2391337	83.23037717	0	0	99.60356612	0	107.7901606	2438.240721	0	0	234.682375	238.7756722	653.5631256	791.3707993	0	17683.04407	0	0	10512.95174	17865.87801	125.527782	892.3387978	672.6651794	0	84.59480958	158.2741599	2431.418559	1689.167327	695.8605304	1833.797162	186.9272405	0	0	0	0	1702.811651	28523.45958	226.4957805	69.58605304	847.3125282	0	0	27.28864825	966.0181481	0	238.7756722	55.94172891	246.9622667	0	813.2017179	0	817.2950151	1047.884093	11189.71022	39268.36483	47.75513444	2307.25521	1289.38863	87.3236744	1884.281162	1479.044735	1660.514246	4282.953343	4158.789993	1432.654033	324.7349142	272.8864825	126.8922144	656.2919904	1016.502147	841.8547985	1592.292625	0	203.3004295	117.3411875	0	2360.468074	203.3004295	560.7817216	0	51.84843168	47.75513444
BP.8.1	7.40888699	0	21.4034513	27.98912863	0	0	630.5786038	43.63011227	46.92295094	0	0	0	46.92295094	83.96738589	3890.488879	0	30.45875763	245.3164803	0	0	0	0	74876.68155	491.4561703	7265.648508	0	121.0118208	558.1361532	62.56393458	0	381.9692848	23.04987064	36.22122528	826.5025042	0	321.0517696	4719.461013	0	266.7199316	0	23.04987064	342.4552209	27.98912863	0	0	581.1860239	572.1307176	76.5584989	2618.629946	1561.628736	17.28740298	3222.042631	7825.431081	3065.632795	0	37.86764462	7779.331339	2719.061525	0	174.5204491	77.38170856	0	146.5313205	0	0	908.8234708	531.79344390000006	0	77971.94989	0	0	0	689.0264901	1448.849011	1322.074723	303.7643666	28.81233829	369.6211398	0	0	3.292838662	1385.461867	8270.78751	181.1061264	0	59.27109592	0	367.1515108	54.33183793	51.86220893	970.5641957	2399.656175	89.72985355	7499.440053	1592.087493	0	3812.283961	670.9158774	149.8241591	1261.980417	9765.736262	2618.629946	1189.537967	60.91751525	0	0	274.9520283	669.2694581	344.9248499	204.1559971	0	56.80146692	42.80690261	51.03899926	2313.21916	0	1265.273256	0	0	0
EF.13.1	12.73212946	0	0	0	0	0	4628.129057	19.09819418	301.0239179	308.2994204	0	1975.298941	227.3594546	0	0	0	133.6873593	1044.034615	0	575.674139	0	0	79173.83759	64.5700851	2662.833932	923.9888234	241.0010219	0	0	170.9743098	1450.55332	42.74357746	1596.972809	2433.655602	111.8608517	148.2383644	12660.28387	0	205.5329469	111.8608517	0	0	30.011448	0	0	4150.674203	0	0	41.83413964	130.9590458	176.4309368	1567.870799	873.9697434	8375.922307	232.8160815	0	8042.158628	3815.091648	0	167.3365586	100.03816	0	505.647427	0	696.6293688	399.2432022	407.4281426	353.7713113	3140.288787	0	0	0	0	576.5835768	15388.59732	402.8809535	0	233.7255193	0	53.65683128	10.003816	469.2699143	1947.106369	0	168.2459964	80.93996583	16.36988073	216.4462008	0	253.7331513	412.8847695	2615.543166	13402.38513	120.9552298	1093.144258	470.1793521	264.6464051	693.9010554	0	571.1269499	8109.457026	926.7171369	656.6141048	0	145.5100509	20.007632	214.6273251	486.5492328	108.2231004	250.0954	0	65.47952292	173.7026233	0	949.4530823	0	1314.137647	0	133.6873593	0
BP.13.1	0	999.9760522	7.525689951	0	0	13.16995741	1239.857419	7.525689951	85.60472319	184.3794038	9947.080692	0	86.54543443	0	381.928765	0	9.407112438	116.6481942	0	1903.999558	0	0	9726.01355	498.5769592	2208.790001	0	0	121.3517505	0	0	2526.750401	55.50196339	104.4189481	1268.078757	96.89325812	107.2410818	0	318.9011117	457.1856645	0	0	0	30.1027598	35.74702727	9.407112438	161760.9426	44.21342846	51.73911841	0	2059.216913	174.0315801	1602.97196	1120.387091	3746.852884	121.3517505	0	3363.042697	3574.702727	0	142.9881091	159.9209115	0	57.38338587	0	42.33200597	243.6442122	190.9643825	42.33200597	1301.00365	1484.442343	2205.027156	5606.639013	1437.406781	380.9880538	793.0195786	370.6402301	29.16204856	179.6758476	0	0	1.881422488	0	0	0	15.99209115	36.68773851	0	72.43476578	0	17.87351363	201.3122062	652.8536032	825.0037609	402.6244124	1328.284276	0	782.6717549	1105.335712	4.703556219	618.0472872	4259.540512	947.2962226	154.276644	23.5177811	43.27271722	4.703556219	95.95254687	43.27271722	233.2963885	279.3912394	0	56.44267463	50.79840717	12.22924617	488.2291356	0	168.3873126	0	0	0
EF.18.1	31.41110325	0	69.10442714	104.1053708	555.5277974	204.6209012	2569.428246	8.077140835	242.3142251	109.4901313	0	0	133.7215538	65.51458677	0	0	54.74506566	16.15428167	0	5712.333491	0	0	94722.42549	26.92380278	8700.8756	1303.112055	0	1052.720689	0	747.5842573	1985.181725	102.3104506	3836.641897	643.4788865	349.1119761	721.5579146	11167.09593	0	1411.704726	99.6180703	0	0	55.64252575	0	0	256981.4153	0	33.20602343	21250.95754	1807.484627	26.92380278	6524.534875	2809.947551	6035.419124	674.8899898	0	4348.19415	6114.395612	60.12982622	192.9539199	123.8494928	0	0	58.33490603	511.5522529	1571.452622	313.2135724	426.2935441	3269.447118	0	0	0	0	1616.325627	4020.621216	244.1091452	51.15522529	738.6096564	0	0	0	1736.58528	4946.800031	0	92.43838956	46.66792483	97.82315011	0	0	171.4148777	874.1261304	1162.21082	13695.24102	86.15616891	675.7874499	405.6519619	479.2436895	478.3462295	7.179680742	1310.291735	10494.00086	1423.371707	2476.092396	152.5682158	67.30950696	3.589840371	343.7272155	621.9398443	694.6341118	283.5973893	0	108.5926712	60.12982622	0	2114.415979	0	1856.844932	0	78.97648817	0
BF.9.1b	112.4397197	28863.27605	0	0	0	0	555.7734717	11.24397197	14.45653539	131.7151002	22218.08861	652.1503743	359.8071031	0	849.7230246	0	14.45653539	12.85025368	0	1659.289007	2517.04344	0	34547.90702	51.40101472	1252.899734	0	0	279.4930176	0	101.1957477	567.0174437	49.79473301	3734.604976	101.1957477	0	248.9736651	191.1475235	0	346.9568494	112.4397197	35.33819762	0	62.64498669	0	0	270001.4989	398.3578641	0	0	3700.87306	72.28267695	8768.691855	7618.594151	2224.700168	0	0	13333.74448	2136.354674	46.58216959	128.5025368	149.384199	0	0	0	33.73191591	305.1935249	313.2249335	0	353.3819762	13634.11916	4203.639235	5042.118288	8839.368251	499.5536118	412.8143995	0	35.33819762	170.2658613	0	0	3.21256342	1360.520608	2547.562792	0	9.63769026	0	0	73.88895866	0	0	332.500314	292.3432712	1201.498719	8057.109058	242.5485382	0	403.1767092	944.4936455	25.70050736	0	34485.26203	610.3870498	292.3432712	0	0	6.42512684	118.8648465	17.66909881	395.1453007	97.98318431	0	96.3769026	0	0	499.5536118	0	5703.906352	0	0	0
EP.21.1	15.1227192	0	0	0	91.74449647	0	382.1007051	4.03272512	12.09817536	47.38452016	0	0	53.43360784	0	453.681576	0	303.4625653	17.13908176	0	4292.83589	0	0	26844.84294	32.26180096	605.9169492	0	0	128.0390226	50.409064	0	199.6198934	11.08999408	5887.778675	2255.301523	7.05726896	15.1227192	0	0	329.6752785	40.3272512	0	0	0	0	0	258494.6556	0	0	15.1227192	59.48269552	75.613596	786.3813984	153.2435546	3451.004521	174.4153614	0	4654.772969	2518.436837	20.1636256	108.8835782	53.43360784	0	0	0	700.6859896	137.1126541	322.6180096	435.5343129	287.3316648	0	0	0	0	169.374455	3410.67727	142.1535605	25.204532	70.5726896	0	0	4.03272512	162.3171861	221.7998816	0	27.22089456	39.31906992	0	226.840788	0	225.8326067	118.965391	135.0962915	6604.595565	56.45815168	222.8080629	588.7778675	26.21271328	0	0	148.2026482	5179.027235	835.7822811	93.76085903	0	0	28.22907584	43.35179504	109.8917595	95.77722159	280.2743958	0	30.2454384	0	0	244.988051	0	147.1944669	0	100.818128	0
EP.23.1	50.59761439	0	25.74264592	39.0578076	0	0	1157.531389	9.764451899	118.0611002	0	0	0	134.9269717	64.80045351	1747.83689	0	21.30425869	41.72083993	0	316.900848	0	0	85825.98149	0	4408.206194	0	0	791.8082813	0	151.7928432	648.0045351	34.61942037	24555.82117	276.0676855	26.63032336	137.590004	369.2738173	0	563.6751778	72.78955052	0	0	38.17013015	0	0	320371.6668	0	0	3114.860156	1253.400553	55.03600162	6401.929736	3821.451402	1480.645979	275.1800081	0	4494.310906	1724.757276	34.61942037	433.1865934	234.3468456	0	0	91.43077688	372.8245271	1023.492095	435.8496257	39.94548504	3093.555897	0	0	0	0	1889.865281	1837.492312	132.2639394	36.39477526	473.1320784	0	0	0	229.0207809	1967.093219	0	68.3511633	53.26064672	9.764451899	39.94548504	0	24.85496847	962.2423508	1919.158637	58415.38965	218.3686516	440.2880129	235.234523	719.0187308	585.867114	5.326064672	823.7646693	8471.105862	352.4079458	995.9740937	78.1156152	110.0720032	158.0065853	287.6074923	135.8146491	914.3077688	206.8288448	0	343.5311714	0	0	1844.593732	0	542.3709191	0	0	0
EP.25.1	45.73173675	0	0	0	180.8482317	0	405.3494848	6.23614592	202.6747424	18.70843776	0	0	0	0	140.3132832	0	19.74779541	97.69961942	0	0	0	0	38202.62991	18.70843776	2390.522603	0	0	122.6442031	0	51.96788267	260.878771	21.82651072	55.08595563	145.5100715	12.47229184	228.6586837	0	0	88.34540054	0	0	0	10.39357653	0	4.157430614	139917.2879	221.3831802	19.74779541	7569.64179	340.9093103	3.11807296	3714.664253	903.2018008	2274.114546	0	0	10282.36527	2136.919335	19.74779541	143.4313562	55.08595563	0	0	18.70843776	113.2899842	377.2868282	165.2578669	71.71567808	7393.990346	0	0	0	0	433.4121415	7273.424858	75.8731087	20.78715307	121.6048454	32.22008726	0	2.078715307	115.3686995	464.5928711	0	54.04659798	0	0	20.78715307	0	12.47229184	260.878771	1149.529565	10180.50821	19.74779541	299.3350042	149.6675021	99.77833473	0	42.61366379	559.1744175	808.6202543	626.732665	1226.442031	0	51.96788267	58.20402859	145.5100715	98.73897707	254.6426251	183.9663047	0	43.65302144	23.90522603	0	1046.633157	0	1438.470992	21.82651072	0	0
EP.27.1	13.96739487	0	15.82971419	0	562.4204334	0	692.7827855	11.1739159	383.6377791	0	0	0	201.1304861	221.6159986	37.24638632	0	105.2210414	34.45290735	507.4820136	0	0	0	36049.84616	13.03623521	12251.26762	0	0	258.8623849	62.38769709	113.6014783	500.963896	16.76087384	8535.009425	3914.595202	69.83697435	20.48551248	0	0	1234.717706	0	0	0	140.6051084	0	10.24275624	250221.2233	0	0	11776.37619	202.9928054	81.9420499	548.4530386	217.89136	2675.221697	0	0	4957.494019	591.2863828	0	1693.779418	173.1956964	0	0	34.45290735	111.739159	5546.918083	290.5218133	76.35509195	199.2681668	0	0	0	0	7154.099652	15257.98216	181.5761333	48.42030222	1312.935118	0	343.5979138	0	63.31885674	0	0	0	41.90218461	0	627.6016095	0	39.10870564	3130.55877	8475.415207	7071.226443	76.35509195	3048.61672	0	18.62319316	0	0	464.6486693	6878.476394	3260.921122	285.866015	0	69.83697435	104.2898817	47.48914256	1523.3772	216.0290407	283.072536	0	35.384067	172.2645367	0	9452.201688	0	179.713814	0	0	0
EP.29.1	0	0	9.461563909	0	86.50572716	70.28590332	232.4841418	28.38469173	0	0	0	0	0	0	240.5940537	0	37.84625563	41.90121159	250.0556176	754.2218087	0	0	42399.97118	82.4507712	810.9911922	0	0	124.3519828	0	59.47268743	475.7814994	0	5908.070835	328.4514328	0	10.8132159	0	0	31.0879957	16.21982384	0	0	25.68138775	0	58.12103544	349001.9496	0	0	31.0879957	86.50572716	22.97808378	181.1213662	129.7585907	879.9254435	0	0	3653.515321	385.2208163	24.32973576	0	74.34085928	0	0	27.03303974	1348.948683	316.2865649	181.1213662	2008.554853	52.71442749	0	0	0	0	423.0670719	387.9241202	0	48.65947153	195.9895381	59.47268743	0	14.86817186	78.39581524	0	0	0	77.04416326	0	97.31894306	0	752.8701567	237.8907497	725.837117	10657.77592	0	429.8253318	0	36.49460365	0	0	333.8580408	951.5629988	1624.685688	316.2865649	0	136.5168507	10.8132159	33.79129967	0	393.3307282	1096.189761	0	36.49460365	0	0	463.6166315	116.2420709	513.627755	529.8475789	24.32973576	0
