Compound	Compound.Name	High.Confidence.Annotation	HMDB	KEGG
HILIC_POS_aspartate	aspartate	FALSE	HMDB0000191	C00049
HILIC_NEG_aspartate	aspartate	FALSE	HMDB0000191	C00049
HILIC_POS_atenolol	atenolol	TRUE	HMDB0001924	C13235
HILIC_NEG_azelaic acid	azelaic acid	FALSE	HMDB0000784	C08261
REV_NEG_azelate	azelate	FALSE	HMDB0000784	C08261
HILIC_NEG_benzoate	benzoate	TRUE	HMDB0013677	C00180
HILIC_POS_beta-alanine	beta-alanine	TRUE	HMDB0000056	C00099
HILIC_POS_beta-guanidinopropionic acid	beta-guanidinopropionic acid	TRUE	HMDB0013222	C03065
HILIC_POS_betaine	betaine	TRUE	HMDB0000043	C00719
HILIC_POS_bilirubin	bilirubin	TRUE	HMDB0000054	C00486
HILIC_NEG_butyrate	butyrate	TRUE	HMDB0000039	C00246
HILIC_POS_C10:2 carnitine	C10:2 carnitine	TRUE	NA	NA
HILIC_POS_C14 carnitine	C14 carnitine	TRUE	NA	NA
REV_POS_C14:1 MAG +NH4	C14:1 MAG +NH4	TRUE	NA	NA
HILIC_POS_C16 carnitine	C16 carnitine	TRUE	NA	NA
REV_POS_C16:0 CE	C16:0 CE	TRUE	NA	NA
REV_POS_C16:0 CE +NH4	C16:0 CE +NH4	TRUE	NA	NA
REV_POS_C16:0 Ceramide (d18:1)	C16:0 Ceramide (d18:1)	TRUE	NA	NA
REV_POS_C16:0 LPC	C16:0 LPC	TRUE	NA	NA
REV_POS_C16:0 LPE	C16:0 LPE	TRUE	NA	NA
REV_POS_C16:0 SM	C16:0 SM	TRUE	NA	NA
HILIC_POS_C16:0 SM	C16:0 SM	TRUE	NA	NA
REV_POS_C16:1 CE	C16:1 CE	TRUE	NA	NA
REV_POS_C16:1 MAG	C16:1 MAG	TRUE	NA	NA
HILIC_POS_C18 carnitine	C18 carnitine	TRUE	NA	NA
REV_POS_C18:0 CE	C18:0 CE	TRUE	NA	NA
REV_POS_C18:0 LPC	C18:0 LPC	TRUE	NA	NA
HILIC_POS_C18:0 LPC	C18:0 LPC	TRUE	NA	NA
REV_POS_C18:0 LPE	C18:0 LPE	TRUE	NA	NA
REV_POS_C18:0 MAG	C18:0 MAG	TRUE	NA	NA
REV_POS_C18:0 MAG +NH4	C18:0 MAG +NH4	TRUE	NA	NA
REV_POS_C18:0 SM	C18:0 SM	TRUE	NA	NA
HILIC_POS_C18:1-OH carnitine	C18:1-OH carnitine	TRUE	NA	NA
HILIC_POS_C18:1 carnitine	C18:1 carnitine	TRUE	NA	NA
REV_POS_C18:1 CE	C18:1 CE	TRUE	NA	NA
REV_POS_C18:1 CE +NH4	C18:1 CE +NH4	TRUE	NA	NA
REV_POS_C18:1 LPC	C18:1 LPC	TRUE	NA	NA
REV_POS_C18:1 LPE	C18:1 LPE	TRUE	NA	NA
HILIC_POS_C18:2 carnitine	C18:2 carnitine	TRUE	NA	NA
REV_POS_C18:2 CE	C18:2 CE	TRUE	NA	NA
REV_POS_C18:2 CE +NH4	C18:2 CE +NH4	TRUE	NA	NA
REV_POS_C18:2 LPC	C18:2 LPC	TRUE	NA	NA
REV_POS_C18:3 CE	C18:3 CE	TRUE	NA	NA
REV_POS_C18:3 CE +NH4	C18:3 CE +NH4	TRUE	NA	NA
HILIC_POS_C2 carnitine	C2 carnitine	TRUE	NA	NA
HILIC_POS_C20 carnitine	C20 carnitine	TRUE	NA	NA
REV_POS_C20:0 LPE	C20:0 LPE	TRUE	NA	NA
REV_POS_C20:3 CE	C20:3 CE	TRUE	NA	NA
REV_POS_C20:3 CE +NH4	C20:3 CE +NH4	TRUE	NA	NA
REV_POS_C20:3 LPC	C20:3 LPC	TRUE	NA	NA
HILIC_POS_C20:4 carnitine	C20:4 carnitine	TRUE	NA	NA
REV_POS_C20:4 CE	C20:4 CE	TRUE	NA	NA
REV_POS_C20:4 CE +NH4	C20:4 CE +NH4	TRUE	NA	NA
REV_POS_C20:5 CE	C20:5 CE	TRUE	NA	NA
REV_POS_C22:0 Ceramide (d18:1)	C22:0 Ceramide (d18:1)	TRUE	NA	NA
REV_POS_C22:0 SM	C22:0 SM	TRUE	NA	NA
REV_POS_C22:4 CE	C22:4 CE	TRUE	NA	NA
REV_POS_C22:5 CE	C22:5 CE	TRUE	NA	NA
REV_POS_C22:6 CE	C22:6 CE	TRUE	NA	NA
REV_POS_C22:6 CE +NH4	C22:6 CE +NH4	TRUE	NA	NA
REV_POS_C24:0 Ceramide (d18:1)	C24:0 Ceramide (d18:1)	TRUE	NA	NA
REV_POS_C24:0 PC	C24:0 PC	TRUE	NA	NA
REV_POS_C24:1 Ceramide (d18:1)	C24:1 Ceramide (d18:1)	TRUE	NA	NA
REV_POS_C24:1 SM	C24:1 SM	TRUE	NA	NA
HILIC_POS_C26 carnitine	C26 carnitine	TRUE	NA	NA
HILIC_POS_C3-DC-CH3 carnitine	C3-DC-CH3 carnitine	TRUE	NA	NA
HILIC_POS_C3 carnitine	C3 carnitine	TRUE	NA	NA
REV_POS_C30:0 DAG	C30:0 DAG	TRUE	NA	NA
REV_POS_C30:0 DAG +NH4	C30:0 DAG +NH4	TRUE	NA	NA
REV_POS_C32:0 DAG	C32:0 DAG	TRUE	NA	NA
REV_POS_C32:0 PC	C32:0 PC	TRUE	NA	NA
REV_POS_C32:0 PE	C32:0 PE	TRUE	NA	NA
REV_POS_C32:1 DAG	C32:1 DAG	TRUE	NA	NA
REV_POS_C32:1 DAG +NH4	C32:1 DAG +NH4	TRUE	NA	NA
REV_POS_C32:1 PE	C32:1 PE	TRUE	NA	NA
REV_POS_C32:2 DAG	C32:2 DAG	TRUE	NA	NA
REV_POS_C34:0 DAG	C34:0 DAG	TRUE	NA	NA
REV_POS_C34:0 DAG +NH4	C34:0 DAG +NH4	TRUE	NA	NA
REV_POS_C34:0 PE	C34:0 PE	TRUE	NA	NA
REV_POS_C34:1 DAG	C34:1 DAG	TRUE	NA	NA
REV_POS_C34:1 DAG +NH4	C34:1 DAG +NH4	TRUE	NA	NA
REV_POS_C34:1 PC	C34:1 PC	TRUE	NA	NA
REV_POS_C34:2 DAG	C34:2 DAG	TRUE	NA	NA
REV_POS_C34:2 DAG +NH4	C34:2 DAG +NH4	TRUE	NA	NA
REV_POS_C34:2 PC	C34:2 PC	TRUE	NA	NA
REV_POS_C34:2 PE	C34:2 PE	TRUE	NA	NA
REV_POS_C34:3 DAG	C34:3 DAG	TRUE	NA	NA
REV_POS_C34:3 DAG +NH4	C34:3 DAG +NH4	TRUE	NA	NA
REV_POS_C36:0 DAG	C36:0 DAG	TRUE	NA	NA
REV_POS_C36:0 DAG +NH4	C36:0 DAG +NH4	TRUE	NA	NA
REV_POS_C36:1 DAG	C36:1 DAG	TRUE	NA	NA
REV_POS_C36:1 DAG +NH4	C36:1 DAG +NH4	TRUE	NA	NA
REV_POS_C36:1 PC	C36:1 PC	TRUE	NA	NA
REV_POS_C36:2 DAG	C36:2 DAG	TRUE	NA	NA
REV_POS_C36:2 DAG +NH4	C36:2 DAG +NH4	TRUE	NA	NA
REV_POS_C36:2 PC	C36:2 PC	TRUE	NA	NA
REV_POS_C36:2 PE	C36:2 PE	TRUE	NA	NA
REV_POS_C36:3 DAG	C36:3 DAG	TRUE	NA	NA
REV_POS_C36:3 DAG +NH4	C36:3 DAG +NH4	TRUE	NA	NA
REV_POS_C36:3 PC	C36:3 PC	TRUE	NA	NA
REV_POS_C36:4 DAG	C36:4 DAG	TRUE	NA	NA
REV_POS_C36:4 DAG +NH4	C36:4 DAG +NH4	TRUE	NA	NA
REV_POS_C36:4 PC-A	C36:4 PC-A	TRUE	NA	NA
REV_POS_C36:4 PC-B	C36:4 PC-B	TRUE	NA	NA
REV_POS_C38:4 DAG	C38:4 DAG	TRUE	NA	NA
HILIC_POS_C4-OH carnitine	C4-OH carnitine	TRUE	NA	NA
HILIC_POS_C4 carnitine	C4 carnitine	TRUE	NA	NA
REV_POS_C42:0 TAG	C42:0 TAG	TRUE	NA	NA
