Compound	Compound.Name	High.Confidence.Annotation	HMDB	KEGG
HILIC_NEG_lactose/sucrose/trehalose	lactose/sucrose/trehalose	FALSE	NA	NA
HILIC_POS_leucine	leucine	TRUE	HMDB0000687	C00123
REV_NEG_levulinate	levulinate	TRUE	HMDB0000720	NA
REV_NEG_linoleate	linoleate	TRUE	HMDB0000673	C01595
HILIC_NEG_linoleoyl ethanolamide	linoleoyl ethanolamide	FALSE	HMDB0012252	NA
REV_POS_linoleoylethanolamide	linoleoylethanolamide	FALSE	HMDB0012252	NA
HILIC_NEG_lithocholate	lithocholate	FALSE	HMDB0000717	C17658
REV_NEG_lithocholate	lithocholate	FALSE	HMDB0000717	C17658
HILIC_NEG_lysine	lysine	FALSE	HMDB0000182	C00047
HILIC_POS_lysine	lysine	FALSE	HMDB0000182	C00047
HILIC_POS_m-coumaric acid	m-coumaric acid	TRUE	HMDB0001713	C12621
HILIC_NEG_malate	malate	TRUE	HMDB0000156	C00149
HILIC_NEG_malonate	malonate	TRUE	HMDB0000691	C00383
REV_NEG_mandelate	mandelate	TRUE	HMDB0000703	C01984
REV_NEG_masilinate	masilinate	TRUE	HMDB0002392	C16939
HILIC_POS_metanephrine	metanephrine	TRUE	HMDB0004063	C05588
HILIC_NEG_methionine	methionine	FALSE	HMDB0000696	C00073
HILIC_POS_methionine	methionine	FALSE	HMDB0000696	C00073
HILIC_POS_methionine sulfoxide	methionine sulfoxide	TRUE	HMDB0002005	C02989
HILIC_POS_methylthioadenosine	methylthioadenosine	TRUE	HMDB0001173	C00170
HILIC_POS_mevalonic acid	mevalonic acid	TRUE	HMDB0000227	C00418
REV_NEG_myristate	myristate	TRUE	HMDB0000806	C06424
REV_NEG_myristoleate	myristoleate	TRUE	HMDB0002000	C08322
HILIC_POS_N-a-acetyarginine	N-a-acetyarginine	TRUE	HMDB0004620	NA
REV_NEG_N-acetylalanine	N-acetylalanine	TRUE	HMDB0000766	NA
HILIC_POS_N-acetylglutamine	N-acetylglutamine	TRUE	HMDB0006029	NA
HILIC_POS_N-acetylleucine	N-acetylleucine	TRUE	HMDB0011756	C02710
HILIC_POS_N-acetylornithine	N-acetylornithine	TRUE	HMDB0003357	C00437
HILIC_POS_N-acetylputrescine	N-acetylputrescine	TRUE	HMDB0002064	C02714
HILIC_POS_N-acetyltryptophan	N-acetyltryptophan	TRUE	HMDB0013713	NA
HILIC_POS_N-acetyphenylalanine	N-acetyphenylalanine	TRUE	HMDB0000512	C03519
HILIC_POS_N-carbamoyl-beta-alanine	N-carbamoyl-beta-alanine	TRUE	HMDB0000026	C02642
REV_POS_N-Oleoylethanolamine	N-Oleoylethanolamine	TRUE	HMDB0002088	NA
HILIC_POS_N1-acetylspermidine	N1-acetylspermidine	TRUE	HMDB0001276	C00612
HILIC_POS_N1-acetylspermine	N1-acetylspermine	TRUE	HMDB0001186	C02567
HILIC_NEG_N6-acetyllysine	N6-acetyllysine	FALSE	HMDB0000206	C02727
HILIC_POS_N6-acetyllysine	N6-acetyllysine	FALSE	HMDB0000206	C02727
HILIC_POS_niacinamide	niacinamide	TRUE	HMDB0001406	C00153
HILIC_POS_nicotinate	nicotinate	FALSE	HMDB0001488	C00253
HILIC_NEG_nicotinate	nicotinate	FALSE	HMDB0001488	C00253
HILIC_POS_NMMA	NMMA	TRUE	HMDB0029416	C03884
REV_NEG_nonadecanoate	nonadecanoate	TRUE	HMDB0000772	C16535
HILIC_POS_nor-psi-tropine	nor-psi-tropine	TRUE	HMDB0031667	NA
HILIC_NEG_norepinephrine	norepinephrine	TRUE	HMDB0000216	C00547
REV_NEG_oleanate	oleanate	TRUE	HMDB0002364	C17148
REV_NEG_oleate	oleate	TRUE	HMDB0000207	C00712
HILIC_POS_ornithine	ornithine	TRUE	HMDB0000214	C00077
HILIC_NEG_oxalate	oxalate	TRUE	HMDB0002329	C00209
REV_NEG_oxypurinol	oxypurinol	TRUE	HMDB0000786	C07599
REV_NEG_p-hydroxyphenylacetate	p-hydroxyphenylacetate	TRUE	HMDB0000020	C00642
REV_NEG_palmitate	palmitate	TRUE	HMDB0000220	C00249
REV_POS_palmithoylethanolamide	palmithoylethanolamide	FALSE	HMDB0002100	C16512
REV_NEG_palmitoleate	palmitoleate	TRUE	HMDB0003229	C08362
REV_NEG_palmitoylethanolamide	palmitoylethanolamide	FALSE	HMDB0002100	C16512
HILIC_NEG_pantothenate	pantothenate	TRUE	HMDB0000210	C00864
REV_NEG_pentadecanoate	pentadecanoate	TRUE	HMDB0000826	C16537
HILIC_NEG_pentose monophosphate	pentose monophosphate	TRUE	NA	NA
REV_NEG_PGE2-d4	PGE2-d4	TRUE	NA	NA
HILIC_NEG_phenylacetate	phenylacetate	TRUE	HMDB0000209	C07086
HILIC_POS_phenylalanine	phenylalanine	FALSE	HMDB0000159	C00079
HILIC_NEG_phenylalanine	phenylalanine	FALSE	HMDB0000159	C00079
HILIC_POS_phenylalanine-d8	phenylalanine-d8	TRUE	NA	NA
REV_NEG_phenyllactate	phenyllactate	TRUE	HMDB0000779	C01479
HILIC_POS_phosphocholine	phosphocholine	TRUE	HMDB0001565	C00588
REV_NEG_phytanate	phytanate	TRUE	HMDB0000801	C01607
HILIC_POS_phytosphingosine	phytosphingosine	TRUE	HMDB0004610	C12144
HILIC_POS_pipecolic acid	pipecolic acid	TRUE	HMDB0000070	C00408
REV_NEG_porphobilinogen	porphobilinogen	TRUE	HMDB0000245	C00931
REV_NEG_pregnenolone sulfate	pregnenolone sulfate	TRUE	HMDB0000774	NA
HILIC_NEG_proline	proline	FALSE	HMDB0000162	C00148
HILIC_POS_proline	proline	FALSE	HMDB0000162	C00148
HILIC_POS_proline betaine	proline betaine	TRUE	HMDB0004827	C10172
HILIC_NEG_propionate	propionate	TRUE	HMDB0000237	C00163
HILIC_POS_pseudouridine	pseudouridine	TRUE	HMDB0000767	C02067
HILIC_POS_pterin	pterin	TRUE	HMDB0000802	C00715
HILIC_POS_putrescine	putrescine	TRUE	HMDB0001414	C00134
HILIC_POS_pyridoxamine	pyridoxamine	TRUE	HMDB0001431	C00534
HILIC_POS_pyroglutamic acid	pyroglutamic acid	TRUE	HMDB0000267	C01879
HILIC_NEG_pyruvate	pyruvate	TRUE	HMDB0000243	C00022
HILIC_POS_quercetin	quercetin	TRUE	HMDB0005794	C00389
HILIC_NEG_quinate	quinate	TRUE	HMDB0003072	C00296
HILIC_NEG_quinolinate	quinolinate	TRUE	HMDB0000232	C03722
HILIC_NEG_riboflavin	riboflavin	TRUE	HMDB0000244	C00255
HILIC_POS_s-adenosylmethionine	s-adenosylmethionine	TRUE	HMDB0001185	C00019
REV_NEG_saccharin	saccharin	TRUE	HMDB0029723	C12283
REV_NEG_salicylate	salicylate	TRUE	HMDB0000840	C07588
HILIC_POS_sarcosine	sarcosine	TRUE	HMDB0000271	C00213
HILIC_POS_SDMA	SDMA	TRUE	HMDB0003334	NA
HILIC_NEG_sebacate	sebacate	FALSE	HMDB0000792	C08277
REV_NEG_sebacate	sebacate	FALSE	HMDB0000792	C08277
HILIC_POS_serine	serine	TRUE	HMDB0062263	C00716
HILIC_POS_serotonin	serotonin	TRUE	HMDB0000259	C00780
HILIC_NEG_sorbitol	sorbitol	TRUE	HMDB0000247	C00794
HILIC_POS_spermidine	spermidine	TRUE	HMDB0001257	C00315
HILIC_POS_sphinganine	sphinganine	TRUE	HMDB0000269	C00836
REV_POS_sphingosine	sphingosine	TRUE	HMDB0000252	C00319
REV_NEG_stearate	stearate	TRUE	HMDB0000827	C01530
HILIC_NEG_suberate	suberate	TRUE	HMDB0000893	C08278
HILIC_NEG_succinate	succinate	TRUE	HMDB0000254	C00042
HILIC_POS_taurine	taurine	FALSE	HMDB0000251	C00245
HILIC_NEG_taurine	taurine	FALSE	HMDB0000251	C00245
REV_NEG_taurochenodeoxycholate	taurochenodeoxycholate	TRUE	HMDB0000951	C05465
REV_NEG_taurocholate	taurocholate	TRUE	HMDB0000036	C05122
REV_NEG_taurodeoxycholate	taurodeoxycholate	TRUE	HMDB0000896	C05463
REV_NEG_taurohyodeoxycholate/tauroursodeoxycholate	taurohyodeoxycholate/tauroursodeoxycholate	FALSE	NA	NA
REV_NEG_taurolithocholate	taurolithocholate	TRUE	HMDB0000722	C02592
REV_NEG_tetradecanedioate	tetradecanedioate	TRUE	HMDB0000872	C11002
HILIC_NEG_tetrahydro-1-methyl-beta-carboline-3-carboxylate	tetrahydro-1-methyl-beta-carboline-3-carboxylate	FALSE	HMDB0037942	NA
REV_NEG_theophylline	theophylline	FALSE	HMDB0001889	C07130
HILIC_NEG_theophylline	theophylline	FALSE	HMDB0001889	C07130
HILIC_POS_thiamine	thiamine	TRUE	HMDB0000235	C00378
HILIC_NEG_threonine	threonine	FALSE	HMDB0000167	C00188
HILIC_POS_threonine	threonine	FALSE	HMDB0000167	C00188
HILIC_POS_thymidine	thymidine	TRUE	HMDB0000273	C00214
HILIC_NEG_thymine	thymine	TRUE	HMDB0000262	C00178
HILIC_NEG_thymine-d4	thymine-d4	TRUE	NA	NA
HILIC_POS_trimethylamine-N-oxide	trimethylamine-N-oxide	TRUE	HMDB0000925	C01104
HILIC_NEG_tryptophan	tryptophan	FALSE	HMDB0000929	C00078
HILIC_POS_tryptophan	tryptophan	FALSE	HMDB0000929	C00078
HILIC_POS_tyramine	tyramine	TRUE	HMDB0000306	C00483
HILIC_NEG_tyrosine	tyrosine	FALSE	HMDB0000158	C00082
HILIC_POS_tyrosine	tyrosine	FALSE	HMDB0000158	C00082
REV_NEG_undecanedionate	undecanedionate	TRUE	HMDB0000888	NA
HILIC_NEG_uracil	uracil	TRUE	HMDB0000300	C00106
HILIC_NEG_urate	urate	TRUE	HMDB0000289	C00366
HILIC_NEG_uridine	uridine	TRUE	HMDB0000296	C00299
REV_NEG_urobilin	urobilin	TRUE	HMDB0004160	C05794
HILIC_POS_urocanic acid	urocanic acid	TRUE	HMDB0000301	C00785
HILIC_POS_valine	valine	TRUE	HMDB0000883	C00183
HILIC_POS_valine-d8	valine-d8	TRUE	NA	NA
HILIC_NEG_xanthine	xanthine	FALSE	HMDB0000292	C00385
HILIC_POS_xanthine	xanthine	FALSE	HMDB0000292	C00385
HILIC_POS_xanthosine	xanthosine	TRUE	HMDB0000299	C01762
HILIC_NEG_xanthurenate	xanthurenate	TRUE	HMDB0000881	C02470
HILIC_NEG_xylose	xylose	TRUE	HMDB0000098	C00181
