Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
C8p_QI12406__NA	502.6058	C8-pos	TRUE	NA	NA	NA
C8p_QI12519__NA	504.8952	C8-pos	TRUE	NA	NA	NA
C8p_QI12726__NA	508.7519	C8-pos	TRUE	NA	NA	NA
C8p_QI12741__NA	509.1833	C8-pos	TRUE	NA	NA	NA
C8p_QI13222__NA	517.4742	C8-pos	TRUE	NA	NA	NA
C8p_QI13229__NA	517.6175	C8-pos	TRUE	NA	NA	NA
C8p_QI13236__NA	517.7608	C8-pos	TRUE	NA	NA	NA
C8p_QI13243__NA	517.904	C8-pos	TRUE	NA	NA	NA
C8p_QI13246__NA	518.0474	C8-pos	TRUE	NA	NA	NA
C8p_QI13252__NA	518.1907	C8-pos	TRUE	NA	NA	NA
C8p_QI13263__NA	518.3338	C8-pos	TRUE	NA	NA	NA
C8p_QI13467__NA	521.7611	C8-pos	TRUE	NA	NA	NA
C8p_QI13563__NA	523.7636	C8-pos	TRUE	NA	NA	NA
C8p_QI13564__NA	523.9069	C8-pos	TRUE	NA	NA	NA
C8p_QI13572__NA	524.0502	C8-pos	TRUE	NA	NA	NA
C8p_QI13576__NA	524.1935	C8-pos	TRUE	NA	NA	NA
C8p_QI13587__NA	524.3368	C8-pos	TRUE	NA	NA	NA
C8p_QI13778__NA	527.9067	C8-pos	TRUE	NA	NA	NA
C8p_QI13866__NA	530.053	C8-pos	TRUE	NA	NA	NA
C8p_QI13869__NA	530.1964	C8-pos	TRUE	NA	NA	NA
C8p_QI13899__NA	530.483	C8-pos	TRUE	NA	NA	NA
C8p_QI13905__NA	530.6262	C8-pos	TRUE	NA	NA	NA
C8p_QI13909__NA	530.7695	C8-pos	TRUE	NA	NA	NA
C8p_QI13916__NA	530.9125	C8-pos	TRUE	NA	NA	NA
C8p_QI14072__NA	534.0541	C8-pos	TRUE	NA	NA	NA
C8p_QI14197__NA	536.3426	C8-pos	TRUE	NA	NA	NA
C8p_QI14225__NA	536.6291	C8-pos	TRUE	NA	NA	NA
C8p_QI14240__NA	537.0591	C8-pos	TRUE	NA	NA	NA
C8p_QI14472__NA	540.63	C8-pos	TRUE	NA	NA	NA
C8p_QI14783__NA	546.3477	C8-pos	TRUE	NA	NA	NA
C8p_QI15144__NA	552.9216	C8-pos	TRUE	NA	NA	NA
C8p_QI16533__NA	578.7007	C8-pos	TRUE	NA	NA	NA
C8p_QI17145__NA	590.3756	C8-pos	TRUE	NA	NA	NA
C8p_QI17170__NA	590.5371	C8-pos	TRUE	NA	NA	NA
C8p_QI17337__NA	593.5432	C8-pos	TRUE	NA	NA	NA
C8p_QI17366__NA	594.0447	C8-pos	TRUE	NA	NA	NA
C8p_QI17741__NA	600.7138	C8-pos	TRUE	NA	NA	NA
C8p_QI17743__NA	600.881	C8-pos	TRUE	NA	NA	NA
C8p_QI17749__NA	601.0483	C8-pos	TRUE	NA	NA	NA
C8p_QI17771__NA	601.3825	C8-pos	TRUE	NA	NA	NA
C8p_QI17822__NA	602.2096	C8-pos	TRUE	NA	NA	NA
C8p_QI17966__NA	605.3812	C8-pos	TRUE	NA	NA	NA
C8p_QI18131__NA	608.0515	C8-pos	TRUE	NA	NA	NA
C8p_QI18134__NA	608.2187	C8-pos	TRUE	NA	NA	NA
C8p_QI18147__NA	608.3858	C8-pos	TRUE	NA	NA	NA
C8p_QI18169__NA	608.7202	C8-pos	TRUE	NA	NA	NA
C8p_QI18519__NA	615.3892	C8-pos	TRUE	NA	NA	NA
C8p_QI18547__NA	615.5563	C8-pos	TRUE	NA	NA	NA
C8p_QI18552__NA	615.7235	C8-pos	TRUE	NA	NA	NA
C8p_QI18556__NA	615.8907	C8-pos	TRUE	NA	NA	NA
C8p_QI18563__NA	616.0579	C8-pos	TRUE	NA	NA	NA
C8p_QI18906__NA	622.894	C8-pos	TRUE	NA	NA	NA
C8p_QI18907__NA	623.0613	C8-pos	TRUE	NA	NA	NA
C8p_QI19482__NA	634.3999	C8-pos	TRUE	NA	NA	NA
C8p_QI19513__NA	634.6598	C8-pos	TRUE	NA	NA	NA
C8p_QI19516__NA	634.9015	C8-pos	TRUE	NA	NA	NA
C8p_QI20042__NA	645.664	C8-pos	TRUE	NA	NA	NA
C8p_QI20193__NA	649.4097	C8-pos	TRUE	NA	NA	NA
C8p_QI20216__NA	649.5734	C8-pos	TRUE	NA	NA	NA
C8p_QI21597__NA	678.9324	C8-pos	TRUE	NA	NA	NA
C8p_QI21899__NA	685.2408	C8-pos	TRUE	NA	NA	NA
C8p_QI22285__NA	693.4374	C8-pos	TRUE	NA	NA	NA
C8p_QI22473__NA	697.4365	C8-pos	TRUE	NA	NA	NA
C8p_QI22967__NA	708.4442	C8-pos	TRUE	NA	NA	NA
C8p_QI23001__NA	709.2467	C8-pos	TRUE	NA	NA	NA
C8p_QI23170__NA	713.0319	C8-pos	TRUE	NA	NA	NA
C8p_QI23171__NA	713.2313	C8-pos	TRUE	NA	NA	NA
C8p_QI23315__NA	717.2494	C8-pos	TRUE	NA	NA	NA
C8p_QI23323__NA	717.4501	C8-pos	TRUE	NA	NA	NA
C8p_QI23341__NA	717.6507	C8-pos	TRUE	NA	NA	NA
C8p_QI23346__NA	717.8514	C8-pos	TRUE	NA	NA	NA
C8p_QI23351__NA	718.0519	C8-pos	TRUE	NA	NA	NA
C8p_QI23509__NA	721.6358	C8-pos	TRUE	NA	NA	NA
C8p_QI23514__NA	721.8361	C8-pos	TRUE	NA	NA	NA
C8p_QI23519__NA	722.0374	C8-pos	TRUE	NA	NA	NA
C8p_QI23546__NA	722.84760000000006	C8-pos	TRUE	NA	NA	NA
C8p_QI23661__NA	726.0547	C8-pos	TRUE	NA	NA	NA
C8p_QI23666__NA	726.2554	C8-pos	TRUE	NA	NA	NA
C8p_QI23675__NA	726.4559	C8-pos	TRUE	NA	NA	NA
C8p_QI23684__NA	726.6565	C8-pos	TRUE	NA	NA	NA
C8p_QI23693__NA	726.8572	C8-pos	TRUE	NA	NA	NA
C8p_QI23833__NA	730.4404	C8-pos	TRUE	NA	NA	NA
C8p_QI23980__NA	734.8599	C8-pos	TRUE	NA	NA	NA
C8p_QI23981__NA	735.0606	C8-pos	TRUE	NA	NA	NA
C8p_QI23985__NA	735.2611	C8-pos	TRUE	NA	NA	NA
C8p_QI23992__NA	735.4618	C8-pos	TRUE	NA	NA	NA
C8p_QI24015__NA	735.6624	C8-pos	TRUE	NA	NA	NA
C8p_QI24047__NA	736.8521	C8-pos	TRUE	NA	NA	NA
C8p_QI24117__NA	739.2135	C8-pos	TRUE	NA	NA	NA
C8p_QI24144__NA	739.6483	C8-pos	TRUE	NA	NA	NA
C8p_QI24378__NA	748.0511	C8-pos	TRUE	NA	NA	NA
C8p_QI24389__NA	748.4529	C8-pos	TRUE	NA	NA	NA
C8p_QI26986__NA	861.0265	C8-pos	TRUE	NA	NA	NA
C8p_QI27202__NA	872.0318	C8-pos	TRUE	NA	NA	NA
C8p_QI27273__NA	875.944	C8-pos	TRUE	NA	NA	NA
C8p_QI27372__NA	881.0468	C8-pos	TRUE	NA	NA	NA
C8p_QI27374__NA	881.2976	C8-pos	TRUE	NA	NA	NA
C8p_QI27384__NA	882.4802	C8-pos	TRUE	NA	NA	NA
C8p_QI27461__NA	886.2787	C8-pos	TRUE	NA	NA	NA
C8p_QI27464__NA	886.5229	C8-pos	TRUE	NA	NA	NA
C8p_QI27471__NA	886.7789	C8-pos	TRUE	NA	NA	NA
C8p_QI27565__NA	892.0533	C8-pos	TRUE	NA	NA	NA
C8p_QI27566__NA	892.3041	C8-pos	TRUE	NA	NA	NA
C8p_QI27573__NA	892.555	C8-pos	TRUE	NA	NA	NA
C8p_QI27582__NA	892.8058	C8-pos	TRUE	NA	NA	NA
C8p_QI27604__NA	894.0448	C8-pos	TRUE	NA	NA	NA
C8p_QI27673__NA	897.5358	C8-pos	TRUE	NA	NA	NA
C8p_QI27688__NA	897.788	C8-pos	TRUE	NA	NA	NA
C8p_QI27771__NA	903.0599	C8-pos	TRUE	NA	NA	NA
C8p_QI27774__NA	903.3108	C8-pos	TRUE	NA	NA	NA
C8p_QI27782__NA	903.5615	C8-pos	TRUE	NA	NA	NA
C8p_QI27796__NA	903.8123	C8-pos	TRUE	NA	NA	NA
C8p_QI27873__NA	908.7942	C8-pos	TRUE	NA	NA	NA
C8p_QI27882__NA	909.2957	C8-pos	TRUE	NA	NA	NA
C8p_QI27964__NA	914.0665	C8-pos	TRUE	NA	NA	NA
C8p_QI27965__NA	914.3174	C8-pos	TRUE	NA	NA	NA
C8p_QI27975__NA	914.8189	C8-pos	TRUE	NA	NA	NA
C8p_QI28080__NA	920.0506	C8-pos	TRUE	NA	NA	NA
C8p_QI28161__NA	925.8255	C8-pos	TRUE	NA	NA	NA
C8p_QI969__NA	235.1328	C8-pos	TRUE	NA	NA	NA
C8p_QI7494__NA	411.2718	C8-pos	TRUE	NA	NA	NA
C8p_QI11307__NA	482.6864	C8-pos	TRUE	NA	NA	NA
C8p_QI11313__NA	482.9374	C8-pos	TRUE	NA	NA	NA
C8p_QI11580__NA	487.4253	C8-pos	TRUE	NA	NA	NA
C8p_QI11585__NA	487.5958	C8-pos	TRUE	NA	NA	NA
C8p_QI11595__NA	488.064	C8-pos	TRUE	NA	NA	NA
C8p_QI11598__NA	488.1888	C8-pos	TRUE	NA	NA	NA
C8p_QI11638__NA	488.5652	C8-pos	TRUE	NA	NA	NA
C8p_QI11640__NA	488.6911	C8-pos	TRUE	NA	NA	NA
C8p_QI11911__NA	493.5672	C8-pos	TRUE	NA	NA	NA
C8p_QI11917__NA	493.6926	C8-pos	TRUE	NA	NA	NA
C8p_QI11922__NA	493.8177	C8-pos	TRUE	NA	NA	NA
C8p_QI11925__NA	493.9433	C8-pos	TRUE	NA	NA	NA
C8p_QI11932__NA	494.0687	C8-pos	TRUE	NA	NA	NA
C8p_QI11937__NA	494.1939	C8-pos	TRUE	NA	NA	NA
C8p_QI12200__NA	499.0704	C8-pos	TRUE	NA	NA	NA
C8p_QI12267__NA	499.4467	C8-pos	TRUE	NA	NA	NA
C8p_QI12277__NA	499.5718	C8-pos	TRUE	NA	NA	NA
C8p_QI12281__NA	499.6972	C8-pos	TRUE	NA	NA	NA
C8p_QI12509__NA	504.5735	C8-pos	TRUE	NA	NA	NA
C8p_QI12510__NA	504.699	C8-pos	TRUE	NA	NA	NA
C8p_QI12516__NA	504.8244	C8-pos	TRUE	NA	NA	NA
C8p_QI12525__NA	504.9497	C8-pos	TRUE	NA	NA	NA
C8p_QI12828__NA	510.704	C8-pos	TRUE	NA	NA	NA
C8p_QI12953__NA	512.7534	C8-pos	TRUE	NA	NA	NA
C8p_QI13068__NA	515.0426	C8-pos	TRUE	NA	NA	NA
C8p_QI13093__NA	515.3289	C8-pos	TRUE	NA	NA	NA
C8p_QI13146__NA	516.0818	C8-pos	TRUE	NA	NA	NA
C8p_QI13463__NA	521.7104	C8-pos	TRUE	NA	NA	NA
C8p_QI13610__NA	524.6233	C8-pos	TRUE	NA	NA	NA
C8p_QI13620__NA	524.8345	C8-pos	TRUE	NA	NA	NA
C8p_QI13772__NA	527.7628	C8-pos	TRUE	NA	NA	NA
C8p_QI13788__NA	528.1738	C8-pos	TRUE	NA	NA	NA
C8p_QI13965__NA	531.766	C8-pos	TRUE	NA	NA	NA
C8p_QI14070__NA	533.9091	C8-pos	TRUE	NA	NA	NA
C8p_QI14215__NA	536.4858	C8-pos	TRUE	NA	NA	NA
C8p_QI14234__NA	536.7724	C8-pos	TRUE	NA	NA	NA
C8p_QI14239__NA	536.9157	C8-pos	TRUE	NA	NA	NA
C8p_QI14247__NA	537.2019	C8-pos	TRUE	NA	NA	NA
C8p_QI14435__NA	540.1984	C8-pos	TRUE	NA	NA	NA
C8p_QI14570__NA	542.632	C8-pos	TRUE	NA	NA	NA
C8p_QI14579__NA	542.7753	C8-pos	TRUE	NA	NA	NA
C8p_QI14602__NA	542.9186	C8-pos	TRUE	NA	NA	NA
C8p_QI14611__NA	543.0618	C8-pos	TRUE	NA	NA	NA
C8p_QI14655__NA	543.491	C8-pos	TRUE	NA	NA	NA
C8p_QI14710__NA	544.345	C8-pos	TRUE	NA	NA	NA
C8p_QI14830__NA	547.3245	C8-pos	TRUE	NA	NA	NA
C8p_QI14897__NA	548.9214	C8-pos	TRUE	NA	NA	NA
C8p_QI14901__NA	549.0647	C8-pos	TRUE	NA	NA	NA
C8p_QI14912__NA	549.208	C8-pos	TRUE	NA	NA	NA
C8p_QI14963__NA	549.6383	C8-pos	TRUE	NA	NA	NA
C8p_QI14971__NA	549.7809	C8-pos	TRUE	NA	NA	NA
C8p_QI14975__NA	549.9224	C8-pos	TRUE	NA	NA	NA
C8p_QI15267__NA	555.2107	C8-pos	TRUE	NA	NA	NA
C8p_QI15279__NA	555.3541	C8-pos	TRUE	NA	NA	NA
C8p_QI15299__NA	555.4974	C8-pos	TRUE	NA	NA	NA
C8p_QI15306__NA	555.6407	C8-pos	TRUE	NA	NA	NA
C8p_QI15309__NA	555.7839	C8-pos	TRUE	NA	NA	NA
C8p_QI15312__NA	555.9273	C8-pos	TRUE	NA	NA	NA
C8p_QI15316__NA	556.0703	C8-pos	TRUE	NA	NA	NA
C8p_QI15448__NA	559.0686	C8-pos	TRUE	NA	NA	NA
C8p_QI15590__NA	561.5003	C8-pos	TRUE	NA	NA	NA
C8p_QI15595__NA	561.6436	C8-pos	TRUE	NA	NA	NA
C8p_QI15605__NA	561.7868	C8-pos	TRUE	NA	NA	NA
C8p_QI15610__NA	561.9301	C8-pos	TRUE	NA	NA	NA
C8p_QI15616__NA	562.0734	C8-pos	TRUE	NA	NA	NA
C8p_QI15618__NA	562.2167	C8-pos	TRUE	NA	NA	NA
C8p_QI15634__NA	562.3586	C8-pos	TRUE	NA	NA	NA
C8p_QI15924__NA	567.7894	C8-pos	TRUE	NA	NA	NA
C8p_QI15933__NA	568.0762	C8-pos	TRUE	NA	NA	NA
C8p_QI15940__NA	568.2195	C8-pos	TRUE	NA	NA	NA
C8p_QI15947__NA	568.363	C8-pos	TRUE	NA	NA	NA
C8p_QI15980__NA	568.6493	C8-pos	TRUE	NA	NA	NA
C8p_QI16029__NA	569.5014	C8-pos	TRUE	NA	NA	NA
C8p_QI16690__NA	581.6517	C8-pos	TRUE	NA	NA	NA
C8p_QI16872__NA	585.3386	C8-pos	TRUE	NA	NA	NA
C8p_QI17529__NA	597.2867	C8-pos	TRUE	NA	NA	NA
C8p_QI18393__NA	612.7195	C8-pos	TRUE	NA	NA	NA
C8p_QI18406__NA	613.0537	C8-pos	TRUE	NA	NA	NA
C8p_QI18713__NA	619.0441	C8-pos	TRUE	NA	NA	NA
C8p_QI18760__NA	620.0583	C8-pos	TRUE	NA	NA	NA
C8p_QI18801__NA	620.7264	C8-pos	TRUE	NA	NA	NA
C8p_QI18870__NA	622.3933	C8-pos	TRUE	NA	NA	NA
C8p_QI18902__NA	622.7269	C8-pos	TRUE	NA	NA	NA
C8p_QI18910__NA	623.2284	C8-pos	TRUE	NA	NA	NA
C8p_QI18925__NA	623.3956	C8-pos	TRUE	NA	NA	NA
C8p_QI18955__NA	623.5628	C8-pos	TRUE	NA	NA	NA
C8p_QI19090__NA	626.3853	C8-pos	TRUE	NA	NA	NA
C8p_QI19128__NA	627.22	C8-pos	TRUE	NA	NA	NA
C8p_QI19172__NA	627.7313	C8-pos	TRUE	NA	NA	NA
C8p_QI19179__NA	627.8983	C8-pos	TRUE	NA	NA	NA
C8p_QI19283__NA	630.0645	C8-pos	TRUE	NA	NA	NA
C8p_QI19287__NA	630.2317	C8-pos	TRUE	NA	NA	NA
C8p_QI19304__NA	630.5661	C8-pos	TRUE	NA	NA	NA
C8p_QI19318__NA	630.7333	C8-pos	TRUE	NA	NA	NA
C8p_QI19323__NA	630.9005	C8-pos	TRUE	NA	NA	NA
C8p_QI19347__NA	631.3962	C8-pos	TRUE	NA	NA	NA
C8p_QI19651__NA	637.4023	C8-pos	TRUE	NA	NA	NA
C8p_QI19682__NA	637.5694	C8-pos	TRUE	NA	NA	NA
C8p_QI19683__NA	637.7366	C8-pos	TRUE	NA	NA	NA
C8p_QI19689__NA	637.9038	C8-pos	TRUE	NA	NA	NA
C8p_QI19693__NA	638.0026	C8-pos	TRUE	NA	NA	NA
C8p_QI19694__NA	638.0709	C8-pos	TRUE	NA	NA	NA
C8p_QI19703__NA	638.2369	C8-pos	TRUE	NA	NA	NA
C8p_QI19882__NA	642.0696	C8-pos	TRUE	NA	NA	NA
C8p_QI19885__NA	642.233	C8-pos	TRUE	NA	NA	NA
C8p_QI19898__NA	642.4071	C8-pos	TRUE	NA	NA	NA
C8p_QI19926__NA	643.3345	C8-pos	TRUE	NA	NA	NA
C8p_QI19995__NA	644.7399	C8-pos	TRUE	NA	NA	NA
C8p_QI20003__NA	644.9071	C8-pos	TRUE	NA	NA	NA
C8p_QI20008__NA	645.0743	C8-pos	TRUE	NA	NA	NA
C8p_QI20009__NA	645.2415	C8-pos	TRUE	NA	NA	NA
C8p_QI20039__NA	645.5757	C8-pos	TRUE	NA	NA	NA
C8p_QI20332__NA	652.0776	C8-pos	TRUE	NA	NA	NA
C8p_QI20333__NA	652.2447	C8-pos	TRUE	NA	NA	NA
C8p_QI20341__NA	652.412	C8-pos	TRUE	NA	NA	NA
C8p_QI20358__NA	652.7463	C8-pos	TRUE	NA	NA	NA
C8p_QI20360__NA	652.9135	C8-pos	TRUE	NA	NA	NA
C8p_QI20431__NA	654.3921	C8-pos	TRUE	NA	NA	NA
C8p_QI20560__NA	656.6712	C8-pos	TRUE	NA	NA	NA
C8p_QI20602__NA	657.4175	C8-pos	TRUE	NA	NA	NA
C8p_QI20678__NA	659.4153	C8-pos	TRUE	NA	NA	NA
C8p_QI20707__NA	659.5824	C8-pos	TRUE	NA	NA	NA
C8p_QI20720__NA	659.9169	C8-pos	TRUE	NA	NA	NA
C8p_QI21039__NA	666.753	C8-pos	TRUE	NA	NA	NA
C8p_QI21043__NA	666.9202	C8-pos	TRUE	NA	NA	NA
C8p_QI21044__NA	667.0873	C8-pos	TRUE	NA	NA	NA
C8p_QI21047__NA	667.2545	C8-pos	TRUE	NA	NA	NA
C8p_QI21052__NA	667.4217	C8-pos	TRUE	NA	NA	NA
C8p_QI21401__NA	674.5921	C8-pos	TRUE	NA	NA	NA
C8p_QI21407__NA	674.7593	C8-pos	TRUE	NA	NA	NA
C8p_QI21568__NA	678.4303	C8-pos	TRUE	NA	NA	NA
C8p_QI22685__NA	701.6357	C8-pos	TRUE	NA	NA	NA
C8p_QI23856__NA	730.8427	C8-pos	TRUE	NA	NA	NA
C8p_QI24261__NA	743.6652	C8-pos	TRUE	NA	NA	NA
C8p_QI24266__NA	743.8658	C8-pos	TRUE	NA	NA	NA
C8p_QI24268__NA	744.0664	C8-pos	TRUE	NA	NA	NA
C8p_QI24271__NA	744.267	C8-pos	TRUE	NA	NA	NA
C8p_QI24274__NA	744.4677	C8-pos	TRUE	NA	NA	NA
C8p_QI24372__NA	747.8024	C8-pos	TRUE	NA	NA	NA
C8p_QI24384__NA	748.2534	C8-pos	TRUE	NA	NA	NA
C8p_QI24519__NA	752.4704	C8-pos	TRUE	NA	NA	NA
C8p_QI24531__NA	752.671	C8-pos	TRUE	NA	NA	NA
C8p_QI24540__NA	752.8716	C8-pos	TRUE	NA	NA	NA
C8p_QI24544__NA	753.0722	C8-pos	TRUE	NA	NA	NA
C8p_QI24548__NA	753.2729	C8-pos	TRUE	NA	NA	NA
C8p_QI24757__NA	761.2755	C8-pos	TRUE	NA	NA	NA
C8p_QI24789__NA	761.6769	C8-pos	TRUE	NA	NA	NA
C8p_QI24793__NA	761.8775	C8-pos	TRUE	NA	NA	NA
C8p_QI24794__NA	762.0781	C8-pos	TRUE	NA	NA	NA
C8p_QI24890__NA	765.8596	C8-pos	TRUE	NA	NA	NA
C8p_QI24894__NA	766.0602	C8-pos	TRUE	NA	NA	NA
C8p_QI25001__NA	770.0809	C8-pos	TRUE	NA	NA	NA
C8p_QI25003__NA	770.2815	C8-pos	TRUE	NA	NA	NA
C8p_QI25009__NA	770.4822	C8-pos	TRUE	NA	NA	NA
C8p_QI25018__NA	770.6828	C8-pos	TRUE	NA	NA	NA
C8p_QI25022__NA	770.8834	C8-pos	TRUE	NA	NA	NA
C8p_QI25211__NA	778.8861	C8-pos	TRUE	NA	NA	NA
C8p_QI25212__NA	779.0867	C8-pos	TRUE	NA	NA	NA
C8p_QI25214__NA	779.2874	C8-pos	TRUE	NA	NA	NA
C8p_QI25221__NA	779.4879	C8-pos	TRUE	NA	NA	NA
C8p_QI25243__NA	779.6886	C8-pos	TRUE	NA	NA	NA
C8p_QI25438__NA	787.892	C8-pos	TRUE	NA	NA	NA
C8p_QI25440__NA	788.0927	C8-pos	TRUE	NA	NA	NA
C8p_QI25443__NA	788.2932	C8-pos	TRUE	NA	NA	NA
C8p_QI25889__NA	807.0961	C8-pos	TRUE	NA	NA	NA
C8p_QI27407__NA	883.4958	C8-pos	TRUE	NA	NA	NA
C8p_QI27691__NA	898.0372	C8-pos	TRUE	NA	NA	NA
C8p_QI27966__NA	914.5682	C8-pos	TRUE	NA	NA	NA
C8p_QI28078__NA	919.8004	C8-pos	TRUE	NA	NA	NA
C8p_QI28138__NA	925.0731	C8-pos	TRUE	NA	NA	NA
C8p_QI28140__NA	925.3239	C8-pos	TRUE	NA	NA	NA
C8p_QI28147__NA	925.5746	C8-pos	TRUE	NA	NA	NA
C8p_QI28294__NA	936.0796	C8-pos	TRUE	NA	NA	NA
C8p_QI28295__NA	936.3304	C8-pos	TRUE	NA	NA	NA
C8p_QI28298__NA	936.5812	C8-pos	TRUE	NA	NA	NA
C8p_QI28307__NA	936.8321	C8-pos	TRUE	NA	NA	NA
C8p_QI28367__NA	941.5627	C8-pos	TRUE	NA	NA	NA
C8p_QI28378__NA	941.8134	C8-pos	TRUE	NA	NA	NA
C8p_QI28383__NA	942.064	C8-pos	TRUE	NA	NA	NA
C8p_QI28438__NA	947.0863	C8-pos	TRUE	NA	NA	NA
C8p_QI28440__NA	947.337	C8-pos	TRUE	NA	NA	NA
C8p_QI28442__NA	947.5878	C8-pos	TRUE	NA	NA	NA
C8p_QI28450__NA	947.8386	C8-pos	TRUE	NA	NA	NA
C8p_QI28594__NA	958.0928	C8-pos	TRUE	NA	NA	NA
C8p_QI28596__NA	958.3435	C8-pos	TRUE	NA	NA	NA
C8p_QI28598__NA	958.5944	C8-pos	TRUE	NA	NA	NA
C8p_QI28611__NA	958.8451	C8-pos	TRUE	NA	NA	NA
C8p_QI28615__NA	959.0959	C8-pos	TRUE	NA	NA	NA
C8p_QI28740__NA	969.0993	C8-pos	TRUE	NA	NA	NA
C8p_QI28745__NA	969.6009	C8-pos	TRUE	NA	NA	NA
C8p_QI28754__NA	969.8516	C8-pos	TRUE	NA	NA	NA
C8p_QI28756__NA	970.1023	C8-pos	TRUE	NA	NA	NA
C8p_QI28898__NA	980.8583	C8-pos	TRUE	NA	NA	NA
C8p_QI28899__NA	981.1089	C8-pos	TRUE	NA	NA	NA
C8p_QI29004__NA	992.1155	C8-pos	TRUE	NA	NA	NA
C8p_QI12527__NA	505.075	C8-pos	TRUE	NA	NA	NA
C8p_QI12787__NA	510.0771	C8-pos	TRUE	NA	NA	NA
C8p_QI12790__NA	510.2024	C8-pos	TRUE	NA	NA	NA
C8p_QI12816__NA	510.4532	C8-pos	TRUE	NA	NA	NA
C8p_QI12832__NA	510.8293	C8-pos	TRUE	NA	NA	NA
C8p_QI12925__NA	512.3323	C8-pos	TRUE	NA	NA	NA
C8p_QI13132__NA	515.7057	C8-pos	TRUE	NA	NA	NA
C8p_QI13140__NA	515.8311	C8-pos	TRUE	NA	NA	NA
C8p_QI13141__NA	515.9564	C8-pos	TRUE	NA	NA	NA
C8p_QI13150__NA	516.2073	C8-pos	TRUE	NA	NA	NA
C8p_QI13166__NA	516.3112	C8-pos	TRUE	NA	NA	NA
C8p_QI13294__NA	519.1866	C8-pos	TRUE	NA	NA	NA
C8p_QI13396__NA	521.0835	C8-pos	TRUE	NA	NA	NA
C8p_QI13709__NA	526.5868	C8-pos	TRUE	NA	NA	NA
C8p_QI13714__NA	526.7122	C8-pos	TRUE	NA	NA	NA
C8p_QI13723__NA	526.9629	C8-pos	TRUE	NA	NA	NA
C8p_QI13726__NA	527.0883	C8-pos	TRUE	NA	NA	NA
C8p_QI13733__NA	527.2136	C8-pos	TRUE	NA	NA	NA
C8p_QI13794__NA	528.3084	C8-pos	TRUE	NA	NA	NA
C8p_QI13976__NA	532.09	C8-pos	TRUE	NA	NA	NA
C8p_QI13980__NA	532.2155	C8-pos	TRUE	NA	NA	NA
C8p_QI14005__NA	532.4662	C8-pos	TRUE	NA	NA	NA
C8p_QI14016__NA	532.5916	C8-pos	TRUE	NA	NA	NA
C8p_QI14171__NA	535.5913	C8-pos	TRUE	NA	NA	NA
C8p_QI14356__NA	538.4716	C8-pos	TRUE	NA	NA	NA
C8p_QI14686__NA	543.8484	C8-pos	TRUE	NA	NA	NA
C8p_QI14803__NA	546.6326	C8-pos	TRUE	NA	NA	NA
C8p_QI14810__NA	546.7762	C8-pos	TRUE	NA	NA	NA
C8p_QI15154__NA	553.2094	C8-pos	TRUE	NA	NA	NA
C8p_QI15660__NA	562.7816	C8-pos	TRUE	NA	NA	NA
C8p_QI15812__NA	565.7869	C8-pos	TRUE	NA	NA	NA
C8p_QI16276__NA	574.079	C8-pos	TRUE	NA	NA	NA
C8p_QI16283__NA	574.2224	C8-pos	TRUE	NA	NA	NA
C8p_QI16291__NA	574.3657	C8-pos	TRUE	NA	NA	NA
C8p_QI16301__NA	574.509	C8-pos	TRUE	NA	NA	NA
C8p_QI16307__NA	574.6523	C8-pos	TRUE	NA	NA	NA
C8p_QI16312__NA	574.7956	C8-pos	TRUE	NA	NA	NA
C8p_QI16500__NA	578.364	C8-pos	TRUE	NA	NA	NA
C8p_QI16616__NA	580.5119	C8-pos	TRUE	NA	NA	NA
C8p_QI16632__NA	580.6551	C8-pos	TRUE	NA	NA	NA
C8p_QI16636__NA	580.7984	C8-pos	TRUE	NA	NA	NA
C8p_QI16639__NA	580.9417	C8-pos	TRUE	NA	NA	NA
C8p_QI16645__NA	581.085	C8-pos	TRUE	NA	NA	NA
C8p_QI16653__NA	581.228	C8-pos	TRUE	NA	NA	NA
C8p_QI16663__NA	581.3464	C8-pos	TRUE	NA	NA	NA
C8p_QI16958__NA	586.8013	C8-pos	TRUE	NA	NA	NA
C8p_QI16980__NA	586.9446	C8-pos	TRUE	NA	NA	NA
C8p_QI16986__NA	587.0879	C8-pos	TRUE	NA	NA	NA
C8p_QI16999__NA	587.2308	C8-pos	TRUE	NA	NA	NA
C8p_QI17044__NA	587.6592	C8-pos	TRUE	NA	NA	NA
C8p_QI17287__NA	592.9474	C8-pos	TRUE	NA	NA	NA
C8p_QI17294__NA	593.0908	C8-pos	TRUE	NA	NA	NA
C8p_QI17678__NA	599.5235	C8-pos	TRUE	NA	NA	NA
C8p_QI17686__NA	599.6669	C8-pos	TRUE	NA	NA	NA
C8p_QI17688__NA	599.81	C8-pos	TRUE	NA	NA	NA
C8p_QI18006__NA	605.8129	C8-pos	TRUE	NA	NA	NA
C8p_QI18015__NA	605.9563	C8-pos	TRUE	NA	NA	NA
C8p_QI18223__NA	609.5469	C8-pos	TRUE	NA	NA	NA
C8p_QI18399__NA	612.8188	C8-pos	TRUE	NA	NA	NA
C8p_QI18407__NA	613.0546	C8-pos	TRUE	NA	NA	NA
C8p_QI18762__NA	620.2204	C8-pos	TRUE	NA	NA	NA
C8p_QI19143__NA	627.3962	C8-pos	TRUE	NA	NA	NA
