Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
HILn_QI32__aspartate	132.0303	HILIC-neg	TRUE	L-Aspartic acid	HMDB0000191	C00049
HILn_QI45__cystine	239.0169	HILIC-neg	TRUE	L-Cystine	HMDB0000192	C00491
HILp_QI5874__anserine	241.13	HILIC-pos	TRUE	Anserine	HMDB0000194	C01262
HILp_QI7107__inosine	269.0886	HILIC-pos	TRUE	Inosine	HMDB0000195	C00294
HILn_QI76__inosine	267.0735	HILIC-neg	TRUE	Inosine	HMDB0000195	C00294
C18n_QI14__indoleacetate	174.0552	C18-neg	TRUE	Indoleacetic acid	HMDB0000197	C00954
HILp_QI4241__C2 carnitine	204.1236	HILIC-pos	TRUE	L-Acetylcarnitine	HMDB0000201	C02571
HILp_TF41__N6-acetyllysine	189.1237	HILIC-pos	TRUE	N6-Acetyl-L-lysine	HMDB0000206	C02727
HILn_TF12__N6-acetyllysine	187.1088	HILIC-neg	TRUE	N6-Acetyl-L-lysine	HMDB0000206	C02727
C18n_QI28__oleate	281.249	C18-neg	TRUE	Oleic acid	HMDB0000207	C00712
HILn_QI97__phenylacetate	135.0453	HILIC-neg	TRUE	Phenylacetic acid	HMDB0000209	C07086
HILn_QI95__pantothenate	218.1035	HILIC-neg	TRUE	Pantothenic acid	HMDB0000210	C00864
HILp_QI4902__pantothenate	220.1184	HILIC-pos	TRUE	Pantothenic acid	HMDB0000210	C00864
HILp_QI4966__acetyl-galactosamine	222.0976	HILIC-pos	TRUE	N-Acetylgalactosamine	HMDB0000212	C01074
HILp_QI1169__ornithine	133.0977	HILIC-pos	TRUE	Ornithine	HMDB0000214	C00077
HILn_QI92__norepinephrine	168.0668	HILIC-neg	TRUE	Norepinephrine	HMDB0000216	C00547
C18n_QI21__palmitate	255.2331	C18-neg	TRUE	Palmitic acid	HMDB0000220	C00249
HILp_QI11887__C16 carnitine	400.3428	HILIC-pos	TRUE	L-Palmitoylcarnitine	HMDB0000222	C02990
HILn_QI93__orotate	155.0099	HILIC-neg	TRUE	Orotic acid	HMDB0000226	C00295
HILn_QI28433__propionate	73.0295	HILIC-neg	TRUE	Propionic acid	HMDB0000237	C00163
HILp_TF15__pyridoxine	170.0815	HILIC-pos	TRUE	Pyridoxine	HMDB0000239	C00314
HILn_QI105__riboflavin	375.1315	HILIC-neg	TRUE	Riboflavin	HMDB0000244	C00255
C18n_TF8__porphobilinogen	225.0881	C18-neg	TRUE	Porphobilinogen	HMDB0000245	C00931
HILn_QI112__sorbitol	181.072	HILIC-neg	TRUE	Sorbitol	HMDB0000247	C00794
HILp_QI868__taurine	126.0225	HILIC-pos	TRUE	Taurine	HMDB0000251	C00245
HILn_QI116__taurine	124.0075	HILIC-neg	TRUE	Taurine	HMDB0000251	C00245
C8p_QI46__sphingosine	300.2897	C8-pos	TRUE	Sphingosine	HMDB0000252	C00319
HILp_TF12__sphingosine-isomer3	300.2902	HILIC-pos	FALSE	Sphingosine	HMDB0000252	C00319
HILp_TF3__sphingosine-isomer2	300.2903	HILIC-pos	FALSE	Sphingosine	HMDB0000252	C00319
HILp_TF2__sphingosine-isomer1	300.2903	HILIC-pos	FALSE	Sphingosine	HMDB0000252	C00319
HILn_QI114__succinate	117.0194	HILIC-neg	TRUE	Succinic acid	HMDB0000254	C00042
HILp_QI3039__serotonin	177.1025	HILIC-pos	TRUE	Serotonin	HMDB0000259	C00780
HILn_QI121__thymine	125.0357	HILIC-neg	TRUE	Thymine	HMDB0000262	C00178
HILp_QI8763__sphinganine	302.3059	HILIC-pos	TRUE	Sphinganine	HMDB0000269	C00836
HILn_QI125__UMP	323.0291	HILIC-neg	TRUE	Uridine 5'-monophosphate	HMDB0000288	C00105
HILn_TF18__urate	167.0211	HILIC-neg	TRUE	Uric acid	HMDB0000289	C00366
HILn_QI130__xanthine	151.0263	HILIC-neg	TRUE	Xanthine	HMDB0000292	C00385
HILn_QI128__uridine	243.0623	HILIC-neg	TRUE	Uridine	HMDB0000296	C00299
HILn_QI126__uracil	111.02	HILIC-neg	TRUE	Uracil	HMDB0000300	C00106
HILn_QI6__2-hydroxy-3-methylpentanoate	131.0715	HILIC-neg	TRUE	2-Hydroxy-3-methylpentanoic acid	HMDB0000317	NA
HILn_QI9__3-hydroxymethylglutarate	161.0457	HILIC-neg	TRUE	3-Hydroxymethylglutaric acid	HMDB0000355	C03761
HILn_TF8__epiandrosterone	289.2173	HILIC-neg	TRUE	Epiandrosterone	HMDB0000365	C07635
C18n_QI52__ketodeoxycholate	405.2648	C18-neg	TRUE	7-Ketodeoxycholic acid	HMDB0000391	C04643
HILn_QI5__2-hydroxy-3-methylbutyrate	117.0558	HILIC-neg	TRUE	2-Hydroxy-3-methylbutyric acid	HMDB0000407	NA
HILn_QI24__adipate	145.0507	HILIC-neg	TRUE	Adipic acid	HMDB0000448	C06104
HILn_QI3__2-aminobutyrate	102.0561	HILIC-neg	TRUE	L-Alpha-aminobutyric acid	HMDB0000452	C02356
HILp_QI4915__5-hydroxytryptophan	221.0925	HILIC-pos	TRUE	5-Hydroxy-L-tryptophan	HMDB0000472	C00643
HILp_QI2793__3-methylhistidine	170.0928	HILIC-pos	TRUE	3-Methylhistidine	HMDB0000479	C01152
HILn_QI38__caprylate	143.1079	HILIC-neg	TRUE	Caprylic acid	HMDB0000482	C06423
C18n_QI53__alpha-muricholate	407.2804	C18-neg	TRUE	Alpha-Muricholic acid	HMDB0000506	C17647
HILn_TF1__2-aminoadipate	160.0615	HILIC-neg	TRUE	Aminoadipic acid	HMDB0000510	C00956
C18n_QI13__caprate	171.1381	C18-neg	TRUE	Capric acid	HMDB0000511	C01571
HILp_QI2979__arginine	175.1193	HILIC-pos	TRUE	L-Arginine	HMDB0000517	C00062
HILn_TF4__arginine	173.1044	HILIC-neg	TRUE	L-Arginine	HMDB0000517	C00062
C18n_QI49__chenodeoxycholate	391.2855	C18-neg	TRUE	Chenodeoxycholic acid	HMDB0000518	C02528
HILn_QI11__3-methylglutaconate	143.0351	HILIC-neg	TRUE	3-Methylglutaconic acid	HMDB0000522	NA
HILn_QI20__5-dodecenoate	197.1549	HILIC-neg	TRUE	5-Dodecenoic acid	HMDB0000529	NA
C18n_QI08__caproate	115.0752	C18-neg	TRUE	Caproic acid	HMDB0000535	C01585
HILn_QI37__caproate	115.0765	HILIC-neg	TRUE	Caproic acid	HMDB0000535	C01585
HILn_QI10__3-methyladipate/pimelate	159.0664	HILIC-neg	FALSE	3-Methyladipic acid	HMDB0000555	NA
HILp_QI1127__alloisoleucine	132.1024	HILIC-pos	TRUE	L-Alloisoleucine	HMDB0000557	NA
HILp_QI522__creatinine	114.0669	HILIC-pos	TRUE	Creatinine	HMDB0000562	C00791
C8p_QI70__C18:2 CE	671.5734	C8-pos	FALSE	CE(18:2(9Z,12Z))	HMDB0000610	C15441
HILn_QI51__erythronate	135.03	HILIC-neg	TRUE	Erythronic acid	HMDB0000613	NA
HILn_QI40__cholate	407.2809	HILIC-neg	TRUE	Cholic acid	HMDB0000619	C00695
C18n_QI54__cholate	407.2804	C18-neg	TRUE	Cholic acid	HMDB0000619	C00695
C18n_TF3__dodecanedioate	229.1445	C18-neg	TRUE	Dodecanedioic acid	HMDB0000623	C02678
C18n_QI50__deoxycholate	391.2857	C18-neg	TRUE	Deoxycholic acid	HMDB0000626	C04483
HILp_QI473__cytosine	112.0512	HILIC-pos	TRUE	Cytosine	HMDB0000630	C00380
C18n_QI57__glycodeoxycholate	448.3074	C18-neg	TRUE	Deoxycholic acid glycine conjugate	HMDB0000631	C05464
C18n_QI56__glycochenodeoxycholate	448.307	C18-neg	TRUE	Chenodeoxycholic acid glycine conjugate	HMDB0000637	C05466
C18n_QI15__dodecanoate	199.1697	C18-neg	TRUE	Dodecanoic acid	HMDB0000638	C02679
HILp_QI1788__glutamine	147.0767	HILIC-pos	TRUE	L-Glutamine	HMDB0000641	C00064
HILp_QI9350__C10 carnitine	316.2487	HILIC-pos	TRUE	Decanoylcarnitine	HMDB0000651	C03299
C8p_QI64__C16:1 CE	645.5579	C8-pos	FALSE	CE(16:1(9Z))	HMDB0000658	NA
C18n_QI09__heptanoate	129.0909	C18-neg	TRUE	Heptanoic acid	HMDB0000666	C17714
HILp_TF47__homoarginine	189.135	HILIC-pos	FALSE	Homo-L-arginine	HMDB0000670	C01924
C18n_QI30__hexadecanedioate	285.2071	C18-neg	TRUE	Hexadecanedioic acid	HMDB0000672	C19615
C18n_QI27__linoleate	279.2333	C18-neg	TRUE	Linoleic acid	HMDB0000673	C01595
HILp_QI3629__homocitrulline	190.1191	HILIC-pos	TRUE	Homocitrulline	HMDB0000679	C02427
HILn_TF10__indoxyl sulfate	212.0023	HILIC-neg	TRUE	Indoxyl sulfate	HMDB0000682	NA
HILn_QI79__leucine	130.0874	HILIC-neg	TRUE	L-Leucine	HMDB0000687	C00123
HILp_TF54__leucine	132.1024	HILIC-pos	TRUE	L-Leucine	HMDB0000687	C00123
HILp_QI6120__C5 carnitine	246.1702	HILIC-pos	TRUE	Isovalerylcarnitine	HMDB0000688	C20826
HILn_QI85__malonate	103.0037	HILIC-neg	TRUE	Malonic acid	HMDB0000691	C04025
HILn_QI86__methionine	148.0439	HILIC-neg	TRUE	L-Methionine	HMDB0000696	C00073
HILp_QI1890__methionine	150.0588	HILIC-pos	TRUE	L-Methionine	HMDB0000696	C00073
C18n_QI55__glycolithocholate	432.3119	C18-neg	TRUE	Lithocholic acid glycine conjugate	HMDB0000698	C15557
HILp_QI1320__1-methylnicotinamide	137.0713	HILIC-pos	TRUE	1-Methylnicotinamide	HMDB0000699	C02918
C18n_QI11__mandelate	151.039	C18-neg	TRUE	Mandelic acid	HMDB0000703	C01984
C18n_QI58__glycoursodeoxycholate	448.3071	C18-neg	TRUE	Glycoursodeoxycholic acid	HMDB0000708	NA
C18n_TF1__2-hydroxyoctanoate	159.1027	C18-neg	FALSE	Hydroxyoctanoic acid	HMDB0000711	NA
HILp_QI3107__hippurate	180.0649	HILIC-pos	TRUE	Hippuric acid	HMDB0000714	C01586
HILp_QI3608__kynurenic acid	190.0503	HILIC-pos	TRUE	Kynurenic acid	HMDB0000715	C01717
HILp_QI1037__pipecolic acid	130.0868	HILIC-pos	TRUE	L-Pipecolic acid	HMDB0000716	C00408
C18n_QI60__taurolithocholate	482.295	C18-neg	TRUE	Lithocholyltaurine	HMDB0000722	C02592
HILp_QI1106__hydroxyproline	132.0658	HILIC-pos	TRUE	4-Hydroxyproline	HMDB0000725	C01157
C18n_QI51__hyodeoxycholate/ursodeoxycholate	391.2855	C18-neg	FALSE	Hyodeoxycholic acid	HMDB0000733	C15517
C18n_QI48__lithocholate	375.2905	C18-neg	TRUE	Lithocholic acid	HMDB0000761	C03990
HILn_QI82__lithocholate	375.291	HILIC-neg	TRUE	Lithocholic acid	HMDB0000761	C03990
C18n_QI10__hydrocinnamate	149.0597	C18-neg	TRUE	Hydrocinnamic acid	HMDB0000764	C05629
HILn_QI71__hydrocinnamate	149.0609	HILIC-neg	TRUE	Hydrocinnamic acid	HMDB0000764	C05629
HILn_QI22__acetylalanine	130.0511	HILIC-neg	TRUE	N-Acetyl-L-alanine	HMDB0000766	NA
HILp_QI1105__N-acetyalanine	132.0655	HILIC-pos	FALSE	N-Acetyl-L-alanine	HMDB0000766	NA
HILn_QI102__pseudouridine	243.0622	HILIC-neg	TRUE	Pseudouridine	HMDB0000767	C02067
C18n_QI32__nonadecanoate	297.28	C18-neg	TRUE	Nonadecanoic acid	HMDB0000772	C16535
C18n_QI85__phenyllactate	165.0547	C18-neg	TRUE	Phenyllactic acid	HMDB0000779	C01479
HILn_QI99__phenylalanine	164.0719	HILIC-neg	TRUE	Phenyllactic acid	HMDB0000779	C01479
HILn_QI33__azelate	187.0978	HILIC-neg	TRUE	Azelaic acid	HMDB0000784	C08261
C18n_QI68__azelate	187.0968	C18-neg	TRUE	Azelaic acid	HMDB0000784	C08261
C18n_QI83__oxypurinol	151.0253	C18-neg	TRUE	Oxypurinol	HMDB0000786	C07599
HILp_TF25__C8 carnitine	288.2172	HILIC-pos	TRUE	L-Octanoylcarnitine	HMDB0000791	C02838
C18n_QI69__sebacate	201.1126	C18-neg	TRUE	Sebacic acid	HMDB0000792	C08277
HILn_QI109__sebacate	201.1134	HILIC-neg	TRUE	Sebacic acid	HMDB0000792	C08277
C18n_QI40__phytanate	311.2958	C18-neg	TRUE	Phytanic acid	HMDB0000801	C01607
HILp_TF7__pterin	164.057	HILIC-pos	TRUE	Pterin	HMDB0000802	C00715
C18n_QI18__myristate	227.2013	C18-neg	TRUE	Myristic acid	HMDB0000806	C06424
HILp_QI2994__N-acetylaspartic acid	176.0553	HILIC-pos	TRUE	N-Acetyl-L-aspartic acid	HMDB0000812	C01042
HILp_QI4845__C3 carnitine	218.1391	HILIC-pos	TRUE	Propionylcarnitine	HMDB0000824	C03017
C18n_TF4__pentadecanoate	241.2173	C18-neg	TRUE	Pentadecanoic acid	HMDB0000826	C16537
C18n_QI29__stearate	283.2644	C18-neg	TRUE	Stearic acid	HMDB0000827	C01530
HILp_QI12539__C18 carnitine	428.3745	HILIC-pos	TRUE	Stearoylcarnitine	HMDB0000848	NA
C18n_QI78__acetytyrosine	222.0768	C18-neg	TRUE	N-Acetyl-L-tyrosine	HMDB0000866	C01657
HILp_QI484__histamine	112.0876	HILIC-pos	TRUE	Histamine	HMDB0000870	C00388
C18n_QI22__tetradecanedioate	257.1758	C18-neg	TRUE	Tetradecanedioic acid	HMDB0000872	C11002
HILn_QI16__4-methylcatechol	123.0453	HILIC-neg	TRUE	4-Methylcatechol	HMDB0000873	C06730
C18n_QI63__taurohyodeoxycholate/tauroursodeoxycholate	498.29	C18-neg	FALSE	Tauroursodeoxycholic acid	HMDB0000874	NA
HILp_QI1363__trigonelline	138.0555	HILIC-pos	TRUE	Trigonelline	HMDB0000875	C01004
HILn_TF19__xanthurenate	204.0302	HILIC-neg	TRUE	Xanthurenic acid	HMDB0000881	C02470
HILp_TF58__valine	118.0868	HILIC-pos	TRUE	L-Valine	HMDB0000883	C00183
HILn_QI106__ribothymidine	257.0778	HILIC-neg	TRUE	Ribothymidine	HMDB0000884	NA
C8p_QI66__C16:0 CE	647.5737	C8-pos	TRUE	CE(16:0)	HMDB0000885	C11251
C18n_QI16__undecanedionate	215.1284	C18-neg	TRUE	Undecanedioic acid	HMDB0000888	NA
HILn_QI22769__valerate/isovalerate	101.0608	HILIC-neg	FALSE	Valeric acid	HMDB0000892	C00803
HILn_TF16__suberate	173.0819	HILIC-neg	TRUE	Suberic acid	HMDB0000893	C08278
HILp_QI1757__acetylcholine	146.1178	HILIC-pos	TRUE	Acetylcholine chloride	HMDB0000895	C01996
C18n_QI62__taurodeoxycholate	498.29	C18-neg	TRUE	Taurodeoxycholic acid	HMDB0000896	C05463
HILp_QI2601__7-methylguanine	166.0727	HILIC-pos	TRUE	7-Methylguanine	HMDB0000897	C02242
HILp_QI892__1-methylhistamine	126.1031	HILIC-pos	TRUE	1-Methylhistamine	HMDB0000898	C05127
HILp_QI3009__citrulline	176.1034	HILIC-pos	TRUE	Citrulline	HMDB0000904	C00327
HILn_TF5__citrulline	174.0884	HILIC-neg	TRUE	Citrulline	HMDB0000904	C00327
C8p_QI72__C18:1 CE	673.5891	C8-pos	FALSE	CE(18:1(9Z))	HMDB0000918	C14641
HILp_QI30__trimethylamine-N-oxide	76.0765	HILIC-pos	TRUE	Trimethylamine N-oxide	HMDB0000925	C01104
HILn_QI123__tryptophan	203.0828	HILIC-neg	TRUE	L-Tryptophan	HMDB0000929	C00078
HILp_TF56__tryptophan	205.0976	HILIC-pos	TRUE	L-Tryptophan	HMDB0000929	C00078
C18n_QI64__tauro-alpha-muricholate/tauro-beta-muricholate	514.2844	C18-neg	FALSE	Tauro-b-muricholic acid	HMDB0000932	NA
C18n_QI61__taurochenodeoxycholate	498.2899	C18-neg	TRUE	Taurochenodesoxycholic acid	HMDB0000951	C05465
HILn_TF17__tartarate	149.0092	HILIC-neg	TRUE	Tartaric acid	HMDB0000956	C00898
HILn_QI103__pyrocatechol	109.0295	HILIC-neg	TRUE	Pyrocatechol	HMDB0000957	C15571
HILp_QI19408__biliverdin	583.2569	HILIC-pos	TRUE	Biliverdin	HMDB0001008	C00500
C18n_QI35__arachidonate	303.2333	C18-neg	TRUE	Arachidonic acid	HMDB0001043	C00219
HILp_QI3040__cotinine	177.1025	HILIC-pos	TRUE	Cotinine	HMDB0001046	NA
HILn_QI90__N-acetylglutamate	188.0567	HILIC-neg	TRUE	N-Acetylglutamic acid	HMDB0001138	C00624
HILp_TF34__5-aminolevulinic acid	132.0659	HILIC-pos	TRUE	5-Aminolevulinic acid	HMDB0001149	C00430
HILp_QI1759__butyrobetaine	146.1179	HILIC-pos	TRUE	4-Trimethylammoniobutanoic acid	HMDB0001161	C01181
HILp_QI418__4-aminophenol	110.0606	HILIC-pos	TRUE	4-Aminophenol	HMDB0001169	C02372
HILp_TF49__S-adenosylmethionine	399.145	HILIC-pos	TRUE	S-Adenosylmethionine	HMDB0001185	C00019
HILp_TF52__N1-acetylspermine	245.234	HILIC-pos	TRUE	N1-Acetylspermine	HMDB0001186	C02567
HILn_TF6__dCMP	306.0497	HILIC-neg	TRUE	dCMP	HMDB0001202	C00239
HILn_QI49__dTMP	321.0498	HILIC-neg	TRUE	5-Thymidylic acid	HMDB0001227	C00364
HILn_QI17__4-nitrophenol	138.0197	HILIC-neg	TRUE	4-Nitrophenol	HMDB0001232	C00870
HILp_TF51__spermidine	146.1655	HILIC-pos	TRUE	Spermidine	HMDB0001257	C00315
HILp_QI3549__N1-acetylspermidine	188.1762	HILIC-pos	TRUE	N1-Acetylspermidine	HMDB0001276	C00612
HILp_QI3593__N6,N6,N6-trimethyllysine	189.1601	HILIC-pos	TRUE	N6,N6,N6-Trimethyl-L-lysine	HMDB0001325	C03793
