Genus	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	3.5735	0.00477	1.81708	0	1.13865	4.63632	12.75332	0.07696	6.0342	6.98241	0.67835	1.90104	0	3.11113	0.01427	13.40482	1.33986	5.50951	0.13141	4.52512	5.83693	21.16589	0	2.10968	2.55788	10.74677	4.65963	7.91101	5.46678	9.11606	10.4529	1.25631	3.52649	0	0.28189	6.05374	9.79628	5.09202	2.62389	5.99666	3.87158	0.00243	6.36942	1.7844	3.95018	2.73564	0.04707	1.81609	4.21705	4.71657	1.85135	5.51782	10.24489	2.79898	5.20132	10.768980000000001	6.13236	11.03242	3.35012	6.8767	12.79099	3.67393	10.12455	9.76923	0.64963	2.34927	12.81418	1.98786	3.99548	4.07059	1.97017	4.34576	10.18577	5.34907	0.72577	6.11003	1.23642	2.95163	2.05897	1.68555	3.86225	0.31053	5.09542	4.37635	1.07086	2.68497	3.89902	1.43122	5.51821	0.9057	16.42381	4.56027	7.54569	2.82586	3.68751	7.09929
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname	4.5e-4	0	0.09172	0	0	0	0	0	0	0	0	0	0.00841	0	0	0	0	0	1.03881	0	0.00269	0.00784	0	0	0	0.00394	0.01523	0.0092	0.00153	0	0	0.14254	0	3e-4	0	1.5e-4	0	0.00647	0	0.09277	0.47646	0	0	0.28514	0.00711	0.00324	0	0	0	0	0	0	0.00376	0	0	0	0.00233	0.01459	0.05101	0.01272	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02867	0	0	0	0	0	0	0.03987	0	0	0	0.00318	0	0	0	0	0	3.9e-4	0	0	0	0.00193	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	4.04795	0	6.61472	0	0	2.7789200000000003	7.48709	0	5.9217699999999995	4.5859	0.53723	0.04526	8.07881	1.40923	0.00341	1.20401	0	0.35647	0	2.46113	0.22146	4.91278	0	0.6790700000000001	0.97832	0.52928	4.13671	1.08364	0	1.54889	0	0.28363	1.3265200000000001	0	0.56449	0.30119999999999997	4.54602	0	0.89246	0	0.09548000000000001	0.93003	0.52626	5.79338	2.99466	0	0.68259	1.3098400000000001	0.01814	0	0	0	14.57477	0	2.58132	2.4807	0.07595	11.093779999999999	4.27239	7.85576	3.2854400000000004	0.8001400000000001	7.23297	0.441	0	3.10666	1.93846	5.8360199999999995	0.02293	1.5464099999999998	0.26378999999999997	5.3585899999999995	9.41875	7.6499999999999995	0	4.25325	1.0046700000000002	0.55706	0	0	0	0	0.27719	0.6864100000000001	0.06558	3.5062699999999998	0	0.28065	0.65215	0.9422300000000001	2.7506600000000003	0.9797800000000001	2.7081399999999998	2.0249	3.55354	3.19719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	5.05069	0.1628	0.53735	0.1057	2.93174	4.52911	7.60203	0.06781	0.72369000000000006	1.3641699999999999	2.26561	0.12608	0.04291	8.79062	0.00402	4.34018	1.61534	18.70362	4.20486	3.0157	4.03618	5.47874	2.76692	3.99985	0.32253	2.65307	5.22314	3.90983	0.26226	12.23998	1.54761	1.45172	2.11514	2.1434100000000003	0.01038	1.81342	5.37918	4.41549	2.99838	8.14893	2.31563	0.00407	5.03252	11.13076	6.65061	0.5455	0.16661	12.60607	5.0627	4.56774	3.15995	6.17642	11.53515	1.47175	7.12591	0.46287	13.98249	1.51217	1.76507	17.01052	4.98304	11.2558	15.48633	6.11319	2.7134	2.88014	2.12999	11.92542	1.53911	5.73513	0.28841	5.28021	1.77079	9.789990000000001	0.27941	7.17725	2.58059	2.03848	0.00459	2.04449	0.42746	0.02196	1.10674	12.21742	2.99441	1.02894	0	2.73158	2.28572	0.57453	1.04994	0.99877	2.01878	5.3012	1.04884	1.21182
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	0.00573	0	0	0	0	0	0	0.00226	0	0	0	0.00207	0	0	0	0	0	0	6.3e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0	0	0	0	0	0	0	0	1.3751	0	0.54952	0	0	0	0	0	0	0	0	3.8239899999999998	0	0	0	0	1.4572	0.86818	0	0	0	0	0	0.0259	0	0	0	0	0	0	0	2.28669	0	0	0	0.69385	0	1.05352	0	1.68032	0	0	0	1.34592	0	0	0	0	0.79535	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0	0	1.658	0	0	0	0.00165	0	0	0	0	0	0.53231	0	0	1.14902	0	0	0.74854	0	0.98798	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0.01821	0.02341	0.23862	2.95519	0	0	0.43691	0.19752	0	0	0	0.29873	1.32606	0.01352	0.11406	0.03776	0.27726	0	0.93867	0.44958	0	0.28985	1.11054	0	0	0	0	0	0.14053	0.00478	0.83146	0	0	0.1484	0.03015	0	2.26937	0.16212	0.34867	0	0.00691	0.24721	0.0014	0.11067	0	0	0	0	0.01029	0.20179	0.11472	0	0.03024	1.78412	0	0.91209	0	0	1.07997	0	0.38928	0	0.21115	0.03148	0.07934	0.04288	0.05513	0	0	0	0.00522	0.05461	0	0	0.00917	0	0	0	0.5256	0.23033	0.08944	0	0	0	0	0	0.03598	0.00182	0	0.01885	0.02391	0	0	0.07356	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Eggerthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.6333	0.024560000000000002	0.25024	0.98697	0.54136	0.37056	0.12775	0.0374	6.3e-4	0.10067	0.1239	0.16536	0.10721	3.3409500000000003	0.17135	0.01675	0.13656	1.04913	0.09366000000000001	3.44885	0.66539	0.37538	0.56227	0.22186	1.33942	0.02778	2.0424800000000003	0	0.04725	0.03023	0.23585	0.1023	0	0.1555	0.0463	0.6204	2.47111	0.78005	0.10383	2.46376	0	0.10789	1.04213	0.20457999999999998	2.06153	0.09219	0.00181	0.01837	6.1e-4	0.49818	0.06093	4.78128	0.00553	0.13357000000000002	0.00463	0.18678	0.28135	0.02638	0.70528	2.90819	0.05529	0.54364	0.22279	0.00442	0.46545	0.00382	0.29168	2.1879500000000003	0	0.61606	0.59328	0.00992	7.88492	0	0	0.0023100000000000004	0.09305	0.00374	0.63054	0.16556	0	0.00901	0	0	0.42743	6.71961	0.00437	1.67629	0.49649	0.00807	0.9319	1.62659	0	0.11943000000000001	0.00227	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0	0	0.042890000000000005	0	0	0.00921	0	0	0.00763	0.03779	0	0	0	0	0	0	0	0.01538	0.07302	0	0.01888	0	0	0.03856	0	0.01711	0.01075	0.09136	0	0.04513	0	0	0.01981	0	0	0.01978	0.04876	0.0685	0	0	0.04378	0	0	0.07035	0	0.00144	0	0.01713	0.05042	0.01955	0.09587	0	0.02085	0.2072	0	0	0.10364	0	0.11043	0.02942	0	0.03333	0	0.03699	0.01139	0.13979	0.35898	0.01351	0.00367	0.006189999999999999	0	0	2.2e-4	0.07226	0	0.06422	0.00984	0	0	0	0	0	0.02881	0.00402	0	0	0	0.08423	0.01389	0.04082	0	0.00708	0	0.01942	0.02457	0.02471
